ortholog	function	Homo_sapiens	Mus_musculus
ENOG410V4NK	nuclear receptor subfamily 2 group C member	ENSP00000320447, ENSP00000333275	ENSMUSP00000109087, ENSMUSP00000089858
ENOG410V4N1	solute carrier family 35 member E1	ENSP00000470652	ENSMUSP00000115754
ENOG410V4N2	chitinase	ENSP00000341828, ENSP00000356198, ENSP00000358747, ENSP00000358763, ENSP00000255409	ENSMUSP00000083666, ENSMUSP00000078134, ENSMUSP00000000573, ENSMUSP00000080717
ENOG410V4N7	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSP00000283131, ENSP00000360163	ENSMUSP00000044361, ENSMUSP00000076769
ENOG410V4N6	E4F transcription factor 1	ENSP00000301727	ENSMUSP00000062344
ENOG410V4N9	colony stimulating factor 1 receptor	ENSP00000286301	ENSMUSP00000025523
ENOG410VDR4	signal sequence receptor, beta (translocon-associated protein beta)	ENSP00000295702	ENSMUSP00000045456
ENOG410VB20	leiomodin 1 (smooth muscle)	ENSP00000411932, ENSP00000356257	ENSMUSP00000031694, ENSMUSP00000061597
ENOG410VI3R	Integrin beta 3 binding protein (Beta3-endonexin)	ENSP00000360133	ENSMUSP00000117153
ENOG410VI3Z	diffuse panbronchiolitis critical region 1	ENSP00000447631, ENSP00000446930, ENSP00000446847, ENSP00000392132, ENSP00000417182	ENSMUSP00000093120
ENOG410VI33	Fibroblast growth factor 22	ENSP00000215530	ENSMUSP00000020577
ENOG410VI32	ferredoxin 1	ENSP00000260270	ENSMUSP00000034552
ENOG410WDFZ	Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density-associated Ca(2 ) calmodulin dependent protein kinase II. Component of the PTW PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Regulates NEK2 function in terms of kinase activity and centrosome number and splitting, both in the presence and absence of radiation-induced DNA damage. Regulator of neural tube and optic fissure closure, and enteric neural crest cell (ENCCs) migration during development	ENSP00000326031, ENSP00000296122	ENSMUSP00000015100
ENOG410WDFJ	Histone methyltransferase that specifically trimethylates 'Lys-4' of histone H3 during meiotic prophase and is essential for proper meiotic progression. Does not have the ability to mono- and dimethylate 'Lys-4' of histone H3. H3 'Lys-4' methylation represents a specific tag for epigenetic transcriptional activation. Plays a central role in the transcriptional activation of genes during early meiotic prophase	ENSP00000296682	ENSMUSP00000131871
ENOG410WDFB	protein phosphatase 4, catalytic subunit	ENSP00000279387	ENSMUSP00000032936
ENOG410V6H9	potassium channel tetramerisation domain containing	ENSP00000311202, ENSP00000226225, ENSP00000228495, ENSP00000459080	ENSMUSP00000001125, ENSMUSP00000032924, ENSMUSP00000017759
ENOG410V6H8	neuropeptide Y receptor	ENSP00000458179, ENSP00000458652, ENSP00000354652, ENSP00000363431	ENSMUSP00000040797, ENSMUSP00000056576, ENSMUSP00000045530
ENOG410V6H1	interleukin 21 receptor	ENSP00000338010	ENSMUSP00000033000
ENOG410V6H0	ATPase, H transporting, lysosomal accessory protein 1-like	ENSP00000369513	ENSMUSP00000105168
ENOG410V6H3	Solute carrier family 14 (Urea transporter), member	ENSP00000390637, ENSP00000255226	ENSMUSP00000125114, ENSMUSP00000025434
ENOG410V6H2	Solute carrier family 12 (Sodium potassium chloride transporters), member	ENSP00000402152, ENSP00000262461, ENSP00000370381	ENSMUSP00000111023, ENSMUSP00000034218, ENSMUSP00000028630
ENOG410V6H5	INO80 complex subunit D	ENSP00000384198	ENSMUSP00000130864
ENOG410V6H4	TIMP metallopeptidase inhibitor 2	ENSP00000262768	ENSMUSP00000017610
ENOG410V6H7	Adrenergic, beta, receptor kinase	ENSP00000317578, ENSP00000312262	ENSMUSP00000025791, ENSMUSP00000070445
ENOG410V6H6	Left-right determination factor	ENSP00000355785, ENSP00000272134	ENSMUSP00000041427, ENSMUSP00000082952
ENOG410V6HI	protease, serine 58	ENSP00000455032, ENSP00000446916	ENSMUSP00000069833
ENOG410V6HK	Adducin 3 (Gamma)	ENSP00000348381, ENSP00000264758, ENSP00000264436	ENSMUSP00000032069, ENSMUSP00000025999, ENSMUSP00000109979
ENOG410V6HM	RNA binding motif protein 4.2	ENSP00000262633	ENSMUSP00000040005
ENOG410V6HN	RING finger protein 169	ENSP00000299563	ENSMUSP00000079631
ENOG410V6HA	matrix metallopeptidase	ENSP00000460695, ENSP00000260302, ENSP00000279441, ENSP00000458585, ENSP00000458496, ENSP00000322788, ENSP00000299855, ENSP00000236826, ENSP00000260229	ENSMUSP00000034497, ENSMUSP00000091423, ENSMUSP00000005950, ENSMUSP00000015394, ENSMUSP00000034492, ENSMUSP00000047261, ENSMUSP00000034488, ENSMUSP00000018765
ENOG410V6HC	clathrin, light chain	ENSP00000309415, ENSP00000242285	ENSMUSP00000089198, ENSMUSP00000103483
ENOG410V6HB	transforming growth factor beta 1 induced transcript 1	ENSP00000378332, ENSP00000228307, ENSP00000431284	ENSMUSP00000083709, ENSMUSP00000025601, ENSMUSP00000068529
ENOG410V6HE	CLK4-associating serine arginine rich protein	ENSP00000417901, ENSP00000221455	ENSMUSP00000106018, ENSMUSP00000083205
ENOG410V6HD	calcium modulating ligand	ENSP00000297156	ENSMUSP00000021963
ENOG410V6HG	ATPase Na K transporting alpha	ENSP00000302397, ENSP00000354490, ENSP00000262623, ENSP00000295598, ENSP00000218548, ENSP00000357060	ENSMUSP00000083077, ENSMUSP00000039657, ENSMUSP00000106874, ENSMUSP00000007340, ENSMUSP00000131964, ENSMUSP00000099922
ENOG410V6HF	leucine-rich pentatricopeptide repeat containing	ENSP00000260665	ENSMUSP00000107927
ENOG410V6HY	hypoxia up-regulated 1	ENSP00000458419, ENSP00000384144	ENSMUSP00000068594
ENOG410V6HX	protocadherin 10	ENSP00000264360	ENSMUSP00000131073
ENOG410V6HZ	tetratricopeptide repeat domain 5	ENSP00000258821	ENSMUSP00000006451
ENOG410V6HQ	spermatogenesis associated 25	ENSP00000361597	ENSMUSP00000017911
ENOG410V6HP	keratin 79	ENSP00000328358	ENSMUSP00000023799
ENOG410V6HR	gdp-mannose pyrophosphorylase b	ENSP00000309092	ENSMUSP00000036898
ENOG410V6HU	Syntaxin 11	ENSP00000356540	ENSMUSP00000046243
ENOG410V6HT	unkempt homolog	ENSP00000293218, ENSP00000373873	ENSMUSP00000021116, ENSMUSP00000039670
ENOG410V6HW	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	ENSP00000378360	ENSMUSP00000044556
ENOG410V6HV	leiomodin 3 (fetal)	ENSP00000414670	ENSMUSP00000093315
ENOG410VC7G	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	ENSP00000262662	ENSMUSP00000070313
ENOG410VBSM	Family with sequence similarity 172, member A	ENSP00000379294	ENSMUSP00000133140
ENOG410VBSN	stathmin-like 4	ENSP00000342538	ENSMUSP00000074113
ENOG410VBSH	sorting nexin 8	ENSP00000222990	ENSMUSP00000031539
ENOG410VBSI	suppressor of cytokine signaling	ENSP00000341327, ENSP00000305133	ENSMUSP00000038591, ENSMUSP00000066031
ENOG410VBSD	matrix extracellular phosphoglycoprotein	ENSP00000354341	ENSMUSP00000065200
ENOG410VBSF	acrosin binding protein	ENSP00000229243	ENSMUSP00000085632
ENOG410VBSA	TGFB-induced factor homeobox 2	ENSP00000362979	ENSMUSP00000096745, ENSMUSP00000137450
ENOG410VBSB	intraflagellar transport 46 homolog (Chlamydomonas)	ENSP00000470937, ENSP00000264020	ENSMUSP00000002099
ENOG410VBSX	coiled-coil domain containing 168	ENSP00000320232	ENSMUSP00000127017
ENOG410VBSY	Pyridoxamine 5'-phosphate oxidase	ENSP00000225573	ENSMUSP00000018803
ENOG410VBSZ	Zinc finger and BTB domain containing	ENSP00000323670, ENSP00000328732	ENSMUSP00000057856, ENSMUSP00000047333
ENOG410VBST	solute carrier family 25 (mitochondrial carnitine acylcarnitine carrier), member 29	ENSP00000352167	ENSMUSP00000021693
ENOG410VBSU	Nuclear RNA export factor	ENSP00000469776, ENSP00000472530, ENSP00000361835, ENSP00000331471, ENSP00000294172	ENSMUSP00000010241, ENSMUSP00000033784
ENOG410VBSV	ubiquitin carboxyl-terminal hydrolase	ENSP00000381577	ENSMUSP00000137430
ENOG410VBSW	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	ENSP00000394876, ENSP00000372696, ENSP00000390784, ENSP00000414880, ENSP00000398660	ENSMUSP00000084823
ENOG410VBSQ	sal-like 2 (Drosophila)	ENSP00000333537	ENSMUSP00000056401
ENOG410VBSS	Cytochrome P450, family 46, subfamily a, polypeptide 1	ENSP00000261835	ENSMUSP00000021684
ENOG410VBS8	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	ENSP00000263897	ENSMUSP00000105680
ENOG410VBS5	DNA methyltransferase 1 associated protein 1	ENSP00000312697	ENSMUSP00000099748
ENOG410VBS6	secretagogin, EF-hand calcium binding protein	ENSP00000367197	ENSMUSP00000021770
ENOG410VBS7	RCAN family member 3	ENSP00000329454, ENSP00000363516	ENSMUSP00000039473, ENSMUSP00000030606
ENOG410VBS2	centrosomal protein 192kDa	ENSP00000427550	ENSMUSP00000025425
ENOG410V8M9	Complement component 3a receptor 1	ENSP00000302079	ENSMUSP00000048092
ENOG410V8AG	Striatin, calmodulin binding protein	ENSP00000263918, ENSP00000375777, ENSP00000350071	ENSMUSP00000120830, ENSMUSP00000019220, ENSMUSP00000013130
ENOG410VDSC	SH3-binding domain protein 5-like	ENSP00000355428	ENSMUSP00000072872
ENOG410VKPX	SNRPN upstream reading	ENSP00000336543	ENSMUSP00000136053
ENOG410VKPJ	Unknown	ENSP00000468909	ENSMUSP00000083736
ENOG410WCJY	Inhibits DNA binding of TCF3 E47 homodimers and TCF3 (E47) NEUROD1 heterodimers and acts as a strong repressor of Neurod1 and Myod-responsive genes, probably by heterodimerization with class a basic helix-loop-helix factors. Despite the presence of an intact basic domain, does not bind to DNA (By similarity)	ENSP00000318799	ENSMUSP00000026120
ENOG410WCJU	sprouty-related, EVH1 domain containing 3	ENSP00000345405	ENSMUSP00000046216
ENOG410WCJ8	SRY (sex determining region Y)-box 30	ENSP00000265007	ENSMUSP00000037519
ENOG410WE5R	testis specific 10	ENSP00000347161	ENSMUSP00000048859
ENOG410VMA0	chromosome X open reading frame 69	ENSP00000328335	ENSMUSP00000112767, ENSMUSP00000066705
ENOG410VMA5	5-hydroxyisourate	ENSP00000431116	ENSMUSP00000026554
ENOG410VMAW	thymosin beta	ENSP00000289373	ENSMUSP00000073355, ENSMUSP00000118704, ENSMUSP00000137225, ENSMUSP00000108694
ENOG410VMAV	Translocase of outer mitochondrial membrane 7 homolog (Yeast)	ENSP00000351214	ENSMUSP00000030851
ENOG410VMAZ	serine peptidase inhibitor, Kazal type 13	ENSP00000381468	ENSMUSP00000095165
ENOG410VMAC	chromosome 5 open reading frame 46	ENSP00000315370	ENSMUSP00000094321
ENOG410V6A0	1-acylglycerol-3-phosphate O-acyltransferase 5 (Lysophosphatidic acid acyltransferase, epsilon)	ENSP00000285518	ENSMUSP00000117025
ENOG410V6A7	Receptor-interacting serine-threonine kinase 3	ENSP00000216274	ENSMUSP00000022830
ENOG410V6AC	Syntaxin 4	ENSP00000317714	ENSMUSP00000033075
ENOG410V6AD	ribosomal protein L19	ENSP00000225430	ENSMUSP00000017548
ENOG410V6AI	sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	ENSP00000321108	ENSMUSP00000113115
ENOG410V6AX	Rest corepressor	ENSP00000413929, ENSP00000301459, ENSP00000459789	ENSMUSP00000108996, ENSMUSP00000112089, ENSMUSP00000073004
ENOG410V6U8	stomatin (Epb7.2)-like 2	ENSP00000348886	ENSMUSP00000030169
ENOG410V6U9	Bcl-2-associated athanogene 2	ENSP00000359727	ENSMUSP00000042009
ENOG410V6U6	G protein-coupled receptor 183	ENSP00000365596	ENSMUSP00000052404
ENOG410V6U7	keratin associated protein 24-1	ENSP00000339238	ENSMUSP00000052005
ENOG410V6U4	Teratocarcinoma-derived growth factor 1	ENSP00000296145	ENSMUSP00000035075
ENOG410V6U2	lymphocyte transmembrane adaptor 1	ENSP00000406970	ENSMUSP00000131126
ENOG410V6U0	importin	ENSP00000256079, ENSP00000369042	ENSMUSP00000046759, ENSMUSP00000081782
ENOG410V6UN	Solute carrier family 20 (Phosphate transporter), member	ENSP00000340465, ENSP00000272542	ENSMUSP00000065935, ENSMUSP00000028880
ENOG410V6UM	General transcription factor II-I	ENSP00000460070, ENSP00000460934, ENSP00000322542, ENSP00000397566	ENSMUSP00000049625, ENSMUSP00000098217
ENOG410V6UJ	tetratricopeptide repeat domain	ENSP00000422496, ENSP00000406144	ENSMUSP00000102229, ENSMUSP00000099887
ENOG410V6UI	translocation associated membrane protein	ENSP00000309402, ENSP00000182527, ENSP00000262213	ENSMUSP00000062635, ENSMUSP00000027068, ENSMUSP00000047992
ENOG410V6UE	williams-Beuren syndrome chromosome region 16	ENSP00000333799, ENSP00000461601	ENSMUSP00000075581
ENOG410V6UB	family with sequence similarity 45, member A	ENSP00000354688	ENSMUSP00000025957
ENOG410V6UX	Engulfment and cell motility	ENSP00000377566, ENSP00000312185, ENSP00000290246	ENSMUSP00000071619, ENSMUSP00000105000, ENSMUSP00000072334
ENOG410V6UV	ataxin 10	ENSP00000252934	ENSMUSP00000132450
ENOG410V6UU	EH-domain containing	ENSP00000220325, ENSP00000327116, ENSP00000320516	ENSMUSP00000024860, ENSMUSP00000025684, ENSMUSP00000028755
ENOG410V6UQ	Transient receptor potential cation channel subfamily V member	ENSP00000457041, ENSP00000352358, ENSP00000265310, ENSP00000456007	ENSMUSP00000031901, ENSMUSP00000031902
ENOG410V9N0	Vesicle transport through interaction with t-SNAREs homolog	ENSP00000450731	ENSMUSP00000057462
ENOG410V9N1	Coiled-coil domain containing 104	ENSP00000295117	ENSMUSP00000020754
ENOG410V9N7	ankyrin repeat domain 37	ENSP00000335147	ENSMUSP00000056828
ENOG410V9NX	Cathepsin F	ENSP00000310832	ENSMUSP00000112481
ENOG410VBHN	UBX domain protein 6	ENSP00000301281	ENSMUSP00000019722
ENOG410VBHH	chromosome 6 open reading frame 118	ENSP00000230301	ENSMUSP00000118841
ENOG410VBHK	MAU2 chromatid cohesion factor homolog (C. elegans)	ENSP00000376127	ENSMUSP00000054763
ENOG410VBHD	shisa homolog 9 (Xenopus laevis)	ENSP00000454014	ENSMUSP00000132646
ENOG410VBHG	membrane-spanning 4-domains, subfamily A, member 1	ENSP00000314620	ENSMUSP00000126422
ENOG410VBHF	Regulation of nuclear pre-mRNA domain containing	ENSP00000349955, ENSP00000362532	ENSMUSP00000043618, ENSMUSP00000099412
ENOG410V9NZ	Chromosome 1 open reading frame 52	ENSP00000419417	ENSMUSP00000045376
ENOG410VBHC	axonemal dynein light chain domain containing 1	ENSP00000356590	ENSMUSP00000137354
ENOG410VBHX	lysozyme g-like 1	ENSP00000311320	ENSMUSP00000110544
ENOG410VBHZ	Zinc finger protein 398	ENSP00000420418	ENSMUSP00000078806
ENOG410VBHU	ubiquitin carboxyl-terminal hydrolase	ENSP00000339957	ENSMUSP00000102264
ENOG410VBHT	intraflagellar transport 27 homolog (Chlamydomonas)	ENSP00000393541	ENSMUSP00000016781
ENOG410VBHS	2,4-dienoyl CoA reductase 1, mitochondrial	ENSP00000220764	ENSMUSP00000029877
ENOG410VBH9	sub-family D member	ENSP00000341988	ENSMUSP00000136424, ENSMUSP00000128533, ENSMUSP00000128200, ENSMUSP00000130813, ENSMUSP00000097024
ENOG410VBH8	phosphoglycerate dehydrogenase	ENSP00000358417	ENSMUSP00000064755
ENOG410VBH7	adaptor-related protein complex 5, mu 1 subunit	ENSP00000261558	ENSMUSP00000046536
ENOG410VBH1	SUMO sentrin specific peptidase family member 8	ENSP00000340505	ENSMUSP00000129441
ENOG410VBH3	transcobalamin II	ENSP00000215838	ENSMUSP00000020710
ENOG410VGKY	adenine phosphoribosyltransferase	ENSP00000367615	ENSMUSP00000006764
ENOG410VGKC	Tetratricopeptide repeat domain 9C	ENSP00000325266	ENSMUSP00000085413
ENOG410WGW8	sprouty-related, EVH1 domain containing 2	ENSP00000348753	ENSMUSP00000090987
ENOG410WGWM	G-rich RNA sequence binding factor 1	ENSP00000254799	ENSMUSP00000077972
ENOG410WGWP	RNA-binding region (RNP1, RRM) containing 3	ENSP00000391432	ENSMUSP00000089792
ENOG410VHIP	Cornichon homolog (Drosophila)	ENSP00000216416	ENSMUSP00000015903
ENOG410VHIR	Histone H2A	ENSP00000308405, ENSP00000296417	ENSMUSP00000105359, ENSMUSP00000036907
ENOG410VHIS	chibby homolog 3 (Drosophila)	ENSP00000366173	ENSMUSP00000131004
ENOG410VHIT	Family with sequence similarity 136, member A	ENSP00000037869	ENSMUSP00000071426, ENSMUSP00000125904
ENOG410VHIU	Tumor necrosis factor receptor superfamily member	ENSP00000276431, ENSP00000221132, ENSP00000310263	ENSMUSP00000022663
ENOG410VHIV	ATP synthase, H transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	ENSP00000348205	ENSMUSP00000088029
ENOG410VHIZ	Polymerase (RNA) II (DNA directed) polypeptide F	ENSP00000403852	ENSMUSP00000043566
ENOG410VHIA	Lipocalin 10	ENSP00000418491	ENSMUSP00000059353
ENOG410VHIC	ribosomal protein L23	ENSP00000377865	ENSMUSP00000099435
ENOG410VHID	Phosphoprotein enriched in astrocytes 15	ENSP00000353660	ENSMUSP00000013842
ENOG410VHIE	transmembrane protein 107	ENSP00000314116	ENSMUSP00000091624
ENOG410VHIH	Nuclear receptor 2C2-associated protein	ENSP00000332823	ENSMUSP00000092907
ENOG410VHIJ	histone cluster 3, H2a	ENSP00000355656	ENSMUSP00000104445
ENOG410VHIK	SNAP-associated protein	ENSP00000357674	ENSMUSP00000122090
ENOG410VHIM	Chromosome 12 open reading frame 45	ENSP00000447057	ENSMUSP00000020488
ENOG410VHI3	G-protein signaling modulator 3	ENSP00000392487, ENSP00000403132, ENSP00000407538, ENSP00000372752, ENSP00000410087, ENSP00000413975, ENSP00000364180	ENSMUSP00000045911
ENOG410VHI4	poly(A) binding protein interacting protein 2	ENSP00000265192	ENSMUSP00000036021
ENOG410VHI5	Lysozyme-like 4	ENSP00000287748	ENSMUSP00000076887
ENOG410VHI8	Arginine vasopressin	ENSP00000369647	ENSMUSP00000035551
ENOG410VHI9	peripheral myelin protein 22	ENSP00000308937	ENSMUSP00000018361
ENOG410V8DK	Tumor protein D52-like 2	ENSP00000217121	ENSMUSP00000117690
ENOG410V8DJ	ERGIC and golgi 3	ENSP00000349970	ENSMUSP00000006035
ENOG410V8DI	RING finger protein 146	ENSP00000357297	ENSMUSP00000037224
ENOG410V8DH	activating signal cointegrator 1 complex subunit 2	ENSP00000305502	ENSMUSP00000063272
ENOG410V8DN	cadherin 17, LI cadherin (liver-intestine)	ENSP00000299752, ENSP00000027335	ENSMUSP00000029871, ENSMUSP00000129663
ENOG410V8DC	complement component 1, q subcomponent binding protein	ENSP00000225698	ENSMUSP00000077612
ENOG410V8DB	Activating transcription factor 3	ENSP00000344352	ENSMUSP00000027941
ENOG410V8DG	F-box protein 8	ENSP00000377280	ENSMUSP00000037544
ENOG410V8DF	Ciliary rootlet coiled-coil, rootletin	ENSP00000387851, ENSP00000364691, ENSP00000380661	ENSMUSP00000105248, ENSMUSP00000099549
ENOG410V8DZ	Tubulin folding cofactor E-like	ENSP00000403925	ENSMUSP00000067882
ENOG410V8DY	low affinity immunoglobulin gamma Fc region receptor	ENSP00000271450, ENSP00000351497	ENSMUSP00000027966, ENSMUSP00000131938
ENOG410V8DX	mitochondrial ribosomal protein L47	ENSP00000417602	ENSMUSP00000048078
ENOG410V8DS	prostaglandin G H synthase and cyclooxygenase	ENSP00000356438, ENSP00000354612	ENSMUSP00000035065, ENSMUSP00000059977
ENOG410V8DR	Exosome component 3	ENSP00000323046	ENSMUSP00000030003
ENOG410V8DW	MyoD family inhibitor domain containing	ENSP00000257724	ENSMUSP00000099186
ENOG410V8DV	Immunoglobulin (CD79A) binding protein 1	ENSP00000348784	ENSMUSP00000050818, ENSMUSP00000033570
ENOG410V8DU	WD repeat domain 43	ENSP00000384302	ENSMUSP00000048337
ENOG410V8D9	Major facilitator superfamily domain containing 4	ENSP00000356115	ENSMUSP00000107989
ENOG410V8D8	claudin 11	ENSP00000064724	ENSMUSP00000042181
ENOG410V8D2	mesoderm posterior 1 homolog (mouse)	ENSP00000300057	ENSMUSP00000032760
ENOG410V8D1	protein kinase-like protein SgK196-like	ENSP00000331258	ENSMUSP00000053802
ENOG410V8D0	sushi domain containing 5	ENSP00000308727	ENSMUSP00000128826
ENOG410V8D7	MYCBP AMY-1-associated, testis expressed 1	ENSP00000273390	ENSMUSP00000023501
ENOG410V8D5	ribokinase	ENSP00000306817	ENSMUSP00000031018
ENOG410V8D4	Prostaglandin E receptor 2 (Subtype EP2)	ENSP00000245457	ENSMUSP00000038483
ENOG410VPD6	serine peptidase inhibitor, Kunitz type, 3	ENSP00000217428	ENSMUSP00000096695
ENOG410WIJM	sphingomyelin phosphodiesterase, acid-like	ENSP00000363001	ENSMUSP00000030709
ENOG410WIJD	BTB and CNC homology 1, basic leucine zipper transcription factor 2	ENSP00000257749	ENSMUSP00000103815
ENOG410WIJB	BTB and CNC homology 1, basic leucine zipper transcription factor 1	ENSP00000286800	ENSMUSP00000026703
ENOG410VCA9	tetraspanin	ENSP00000011898, ENSP00000380552	ENSMUSP00000032503, ENSMUSP00000026585
ENOG410VCA8	Major facilitator superfamily domain containing	ENSP00000361895, ENSP00000385527	ENSMUSP00000045315, ENSMUSP00000030408
