ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410V4NK	nuclear receptor subfamily 2 group C member	ENSPTRP00000025284, ENSPTRP00000009017	ENSMUSP00000109087, ENSMUSP00000089858
ENOG410V4N1	solute carrier family 35 member E1	ENSPTRP00000039053	ENSMUSP00000115754
ENOG410V4N2	chitinase	ENSPTRP00000003133, ENSPTRP00000001896, ENSPTRP00000001888, ENSPTRP00000041993	ENSMUSP00000000573, ENSMUSP00000078134, ENSMUSP00000083666, ENSMUSP00000080717
ENOG410V4N7	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSPTRP00000028278	ENSMUSP00000044361, ENSMUSP00000076769
ENOG410V4N6	E4F transcription factor 1	ENSPTRP00000041605	ENSMUSP00000062344
ENOG410V4N9	colony stimulating factor 1 receptor	ENSPTRP00000029749	ENSMUSP00000025523
ENOG410VDR4	signal sequence receptor, beta (translocon-associated protein beta)	ENSPTRP00000002439	ENSMUSP00000045456
ENOG410VB20	leiomodin 1 (smooth muscle)	ENSPTRP00000003081, ENSPTRP00000047657	ENSMUSP00000061597, ENSMUSP00000031694
ENOG410VI3R	Integrin beta 3 binding protein (Beta3-endonexin)	ENSPTRP00000001410	ENSMUSP00000117153
ENOG410VI3Z	diffuse panbronchiolitis critical region 1	ENSPTRP00000054575	ENSMUSP00000093120
ENOG410VI32	ferredoxin 1	ENSPTRP00000007328	ENSMUSP00000034552
ENOG410WDFZ	Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density-associated Ca(2 ) calmodulin dependent protein kinase II. Component of the PTW PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Regulates NEK2 function in terms of kinase activity and centrosome number and splitting, both in the presence and absence of radiation-induced DNA damage. Regulator of neural tube and optic fissure closure, and enteric neural crest cell (ENCCs) migration during development	ENSPTRP00000020246, ENSPTRP00000009251	ENSMUSP00000015100
ENOG410WDFB	protein phosphatase 4, catalytic subunit	ENSPTRP00000053618	ENSMUSP00000032936
ENOG410V6H9	potassium channel tetramerisation domain containing	ENSPTRP00000013636, ENSPTRP00000052970	ENSMUSP00000017759, ENSMUSP00000001125, ENSMUSP00000032924
ENOG410V6H8	neuropeptide Y receptor	ENSPTRP00000028426, ENSPTRP00000050668	ENSMUSP00000056576, ENSMUSP00000040797, ENSMUSP00000045530
ENOG410V6H1	interleukin 21 receptor	ENSPTRP00000013526	ENSMUSP00000033000
ENOG410V6H0	ATPase, H transporting, lysosomal accessory protein 1-like	ENSPTRP00000048326	ENSMUSP00000105168
ENOG410V6H3	Solute carrier family 14 (Urea transporter), member	ENSPTRP00000016979, ENSPTRP00000016983	ENSMUSP00000025434, ENSMUSP00000125114
ENOG410V6H2	Solute carrier family 12 (Sodium potassium chloride transporters), member	ENSPTRP00000013899, ENSPTRP00000059043, ENSPTRP00000029417	ENSMUSP00000111023, ENSMUSP00000028630, ENSMUSP00000034218
ENOG410V6H5	INO80 complex subunit D	ENSPTRP00000047989	ENSMUSP00000130864
ENOG410V6H4	TIMP metallopeptidase inhibitor 2	ENSPTRP00000061107	ENSMUSP00000017610
ENOG410V6H7	Adrenergic, beta, receptor kinase	ENSPTRP00000006793, ENSPTRP00000049774	ENSMUSP00000070445, ENSMUSP00000025791
ENOG410V6H6	Left-right determination factor	ENSPTRP00000003450	ENSMUSP00000082952, ENSMUSP00000041427
ENOG410V6HI	protease, serine 58	ENSPTRP00000033891	ENSMUSP00000069833
ENOG410V6HK	Adducin 3 (Gamma)	ENSPTRP00000046282, ENSPTRP00000020655, ENSPTRP00000027304	ENSMUSP00000025999, ENSMUSP00000032069, ENSMUSP00000109979
ENOG410V6HM	RNA binding motif protein 4.2	ENSPTRP00000018580	ENSMUSP00000040005
ENOG410V6HN	RING finger protein 169	ENSPTRP00000006999	ENSMUSP00000079631
ENOG410V6HA	matrix metallopeptidase	ENSPTRP00000007258, ENSPTRP00000007256, ENSPTRP00000007265, ENSPTRP00000007259, ENSPTRP00000007262, ENSPTRP00000007260	ENSMUSP00000047261, ENSMUSP00000018765, ENSMUSP00000034497, ENSMUSP00000034488, ENSMUSP00000015394, ENSMUSP00000034492, ENSMUSP00000091423, ENSMUSP00000005950
ENOG410V6HC	clathrin, light chain	ENSPTRP00000035797	ENSMUSP00000089198, ENSMUSP00000103483
ENOG410V6HB	transforming growth factor beta 1 induced transcript 1	ENSPTRP00000009381, ENSPTRP00000047049, ENSPTRP00000006351	ENSMUSP00000083709, ENSMUSP00000025601, ENSMUSP00000068529
ENOG410V6HE	CLK4-associating serine arginine rich protein	ENSPTRP00000010953, ENSPTRP00000041717	ENSMUSP00000106018, ENSMUSP00000083205
ENOG410V6HD	calcium modulating ligand	ENSPTRP00000029505	ENSMUSP00000021963
ENOG410V6HG	ATPase Na K transporting alpha	ENSPTRP00000009734, ENSPTRP00000018575, ENSPTRP00000002591, ENSPTRP00000041092	ENSMUSP00000106874, ENSMUSP00000083077, ENSMUSP00000007340, ENSMUSP00000099922, ENSMUSP00000039657, ENSMUSP00000131964
ENOG410V6HF	leucine-rich pentatricopeptide repeat containing	ENSPTRP00000020395	ENSMUSP00000107927
ENOG410V6HY	hypoxia up-regulated 1	ENSPTRP00000007480	ENSMUSP00000068594
ENOG410V6HX	protocadherin 10	ENSPTRP00000028237	ENSMUSP00000131073
ENOG410V6HZ	tetratricopeptide repeat domain 5	ENSPTRP00000010332	ENSMUSP00000006451
ENOG410V6HQ	spermatogenesis associated 25	ENSPTRP00000023314	ENSMUSP00000017911
ENOG410V6HP	keratin 79	ENSPTRP00000008504	ENSMUSP00000023799
ENOG410V6HR	gdp-mannose pyrophosphorylase b	ENSPTRP00000025773	ENSMUSP00000036898
ENOG410V6HU	Syntaxin 11	ENSPTRP00000031873	ENSMUSP00000046243
ENOG410V6HT	unkempt homolog	ENSPTRP00000016408, ENSPTRP00000053809	ENSMUSP00000021116, ENSMUSP00000039670
ENOG410V6HW	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	ENSPTRP00000006431	ENSMUSP00000044556
ENOG410V6HV	leiomodin 3 (fetal)	ENSPTRP00000026063	ENSMUSP00000093315
ENOG410VC7G	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	ENSPTRP00000001246	ENSMUSP00000070313
ENOG410VBSM	Family with sequence similarity 172, member A	ENSPTRP00000029223	ENSMUSP00000133140
ENOG410VBSN	stathmin-like 4	ENSPTRP00000053212	ENSMUSP00000074113
ENOG410VBSH	sorting nexin 8	ENSPTRP00000032199	ENSMUSP00000031539
ENOG410VBSI	suppressor of cytokine signaling	ENSPTRP00000061344, ENSPTRP00000010802	ENSMUSP00000066031, ENSMUSP00000038591
ENOG410VBSD	matrix extracellular phosphoglycoprotein	ENSPTRP00000027935	ENSMUSP00000065200
ENOG410VBSF	acrosin binding protein	ENSPTRP00000007831	ENSMUSP00000085632
ENOG410VBSA	TGFB-induced factor homeobox 2	ENSPTRP00000023101	ENSMUSP00000096745, ENSMUSP00000137450
ENOG410VBSB	intraflagellar transport 46 homolog (Chlamydomonas)	ENSPTRP00000007458	ENSMUSP00000002099
ENOG410VBSX	coiled-coil domain containing 168	ENSPTRP00000010219	ENSMUSP00000127017
ENOG410VBSY	Pyridoxamine 5'-phosphate oxidase	ENSPTRP00000015884	ENSMUSP00000018803
ENOG410VBSZ	Zinc finger and BTB domain containing	ENSPTRP00000017011, ENSPTRP00000017492	ENSMUSP00000047333, ENSMUSP00000057856
ENOG410VBST	solute carrier family 25 (mitochondrial carnitine acylcarnitine carrier), member 29	ENSPTRP00000011454	ENSMUSP00000021693
ENOG410VBSU	Nuclear RNA export factor	ENSPTRP00000006511, ENSPTRP00000038049	ENSMUSP00000033784, ENSMUSP00000010241
ENOG410VBSV	ubiquitin carboxyl-terminal hydrolase	ENSPTRP00000020540	ENSMUSP00000137430
ENOG410VBSW	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	ENSPTRP00000050283	ENSMUSP00000084823
ENOG410VBSQ	sal-like 2 (Drosophila)	ENSPTRP00000010397	ENSMUSP00000056401
ENOG410VBSS	Cytochrome P450, family 46, subfamily a, polypeptide 1	ENSPTRP00000011444	ENSMUSP00000021684
ENOG410VBS8	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	ENSPTRP00000018192	ENSMUSP00000105680
ENOG410VBS5	DNA methyltransferase 1 associated protein 1	ENSPTRP00000046996	ENSMUSP00000099748
ENOG410VBS6	secretagogin, EF-hand calcium binding protein	ENSPTRP00000030372	ENSMUSP00000021770
ENOG410VBS7	RCAN family member 3	ENSPTRP00000000607, ENSPTRP00000031159	ENSMUSP00000030606, ENSMUSP00000039473
ENOG410VBS2	centrosomal protein 192kDa	ENSPTRP00000016823	ENSMUSP00000025425
ENOG410V8M9	Complement component 3a receptor 1	ENSPTRP00000007901	ENSMUSP00000048092
ENOG410V8AG	Striatin, calmodulin binding protein	ENSPTRP00000010587, ENSPTRP00000019206, ENSPTRP00000043059	ENSMUSP00000013130, ENSMUSP00000120830, ENSMUSP00000019220
ENOG410VDSC	SH3-binding domain protein 5-like	ENSPTRP00000003755	ENSMUSP00000072872
ENOG410VKPX	SNRPN upstream reading	ENSPTRP00000058086	ENSMUSP00000136053
ENOG410WCJU	sprouty-related, EVH1 domain containing 3	ENSPTRP00000018728	ENSMUSP00000046216
ENOG410WCJ8	SRY (sex determining region Y)-box 30	ENSPTRP00000029846	ENSMUSP00000037519
ENOG410WE5R	testis specific 10	ENSPTRP00000043779	ENSMUSP00000048859
ENOG410VMA0	chromosome X open reading frame 69	ENSPTRP00000038409	ENSMUSP00000112767, ENSMUSP00000066705
ENOG410VMA5	5-hydroxyisourate	ENSPTRP00000060710	ENSMUSP00000026554
ENOG410VMAW	thymosin beta	ENSPTRP00000039047	ENSMUSP00000118704, ENSMUSP00000073355, ENSMUSP00000137225, ENSMUSP00000108694
ENOG410VMAV	Translocase of outer mitochondrial membrane 7 homolog (Yeast)	ENSPTRP00000032434	ENSMUSP00000030851
ENOG410VMAZ	serine peptidase inhibitor, Kazal type 13	ENSPTRP00000056075	ENSMUSP00000095165
ENOG410VMAC	chromosome 5 open reading frame 46	ENSPTRP00000029710	ENSMUSP00000094321
ENOG410V6A0	1-acylglycerol-3-phosphate O-acyltransferase 5 (Lysophosphatidic acid acyltransferase, epsilon)	ENSPTRP00000034182	ENSMUSP00000117025
ENOG410V6A7	Receptor-interacting serine-threonine kinase 3	ENSPTRP00000010556	ENSMUSP00000022830
ENOG410V6AD	ribosomal protein L19	ENSPTRP00000015480	ENSMUSP00000017548
ENOG410V6AI	sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	ENSPTRP00000004525	ENSMUSP00000113115
ENOG410V6AX	Rest corepressor	ENSPTRP00000052457, ENSPTRP00000003285, ENSPTRP00000006558	ENSMUSP00000073004, ENSMUSP00000112089, ENSMUSP00000108996
ENOG410V6U8	stomatin (Epb7.2)-like 2	ENSPTRP00000035756	ENSMUSP00000030169
ENOG410V6U9	Bcl-2-associated athanogene 2	ENSPTRP00000031283	ENSMUSP00000042009
ENOG410V6U6	G protein-coupled receptor 183	ENSPTRP00000010197	ENSMUSP00000052404
ENOG410V6U7	keratin associated protein 24-1	ENSPTRP00000023820	ENSMUSP00000052005
ENOG410V6U4	Teratocarcinoma-derived growth factor 1	ENSPTRP00000025610	ENSMUSP00000035075
ENOG410V6U2	lymphocyte transmembrane adaptor 1	ENSPTRP00000003143	ENSMUSP00000131126
ENOG410V6U0	importin	ENSPTRP00000048248, ENSPTRP00000008198	ENSMUSP00000081782, ENSMUSP00000046759
ENOG410V6UN	Solute carrier family 20 (Phosphate transporter), member	ENSPTRP00000021186, ENSPTRP00000034606	ENSMUSP00000065935, ENSMUSP00000028880
ENOG410V6UM	General transcription factor II-I	ENSPTRP00000032994, ENSPTRP00000032997	ENSMUSP00000098217, ENSMUSP00000049625
ENOG410V6UJ	tetratricopeptide repeat domain	ENSPTRP00000035547, ENSPTRP00000052336	ENSMUSP00000099887, ENSMUSP00000102229
ENOG410V6UI	translocation associated membrane protein	ENSPTRP00000060393, ENSPTRP00000034802	ENSMUSP00000062635, ENSMUSP00000047992, ENSMUSP00000027068
ENOG410V6UE	williams-Beuren syndrome chromosome region 16	ENSPTRP00000033008	ENSMUSP00000075581
ENOG410V6UB	family with sequence similarity 45, member A	ENSPTRP00000050195	ENSMUSP00000025957
ENOG410V6UX	Engulfment and cell motility	ENSPTRP00000023348, ENSPTRP00000056317, ENSPTRP00000032609	ENSMUSP00000105000, ENSMUSP00000071619, ENSMUSP00000072334
ENOG410V6UV	ataxin 10	ENSPTRP00000049614	ENSMUSP00000132450
ENOG410V6UU	EH-domain containing	ENSPTRP00000011887, ENSPTRP00000006637, ENSPTRP00000020273	ENSMUSP00000028755, ENSMUSP00000025684, ENSMUSP00000024860
ENOG410V6UQ	Transient receptor potential cation channel subfamily V member	ENSPTRP00000033910, ENSPTRP00000042589	ENSMUSP00000031902, ENSMUSP00000031901
ENOG410V9N0	Vesicle transport through interaction with t-SNAREs homolog	ENSPTRP00000010967	ENSMUSP00000057462
ENOG410V9N1	Coiled-coil domain containing 104	ENSPTRP00000020496	ENSMUSP00000020754
ENOG410V9N7	ankyrin repeat domain 37	ENSPTRP00000028552	ENSMUSP00000056828
ENOG410V9NX	Cathepsin F	ENSPTRP00000006773	ENSMUSP00000112481
ENOG410VBHN	UBX domain protein 6	ENSPTRP00000017528	ENSMUSP00000019722
ENOG410VBHH	chromosome 6 open reading frame 118	ENSPTRP00000032082	ENSMUSP00000118841
ENOG410VBHK	MAU2 chromatid cohesion factor homolog (C. elegans)	ENSPTRP00000018319	ENSMUSP00000054763
ENOG410VBHD	shisa homolog 9 (Xenopus laevis)	ENSPTRP00000060167	ENSMUSP00000132646
ENOG410VBHG	membrane-spanning 4-domains, subfamily A, member 1	ENSPTRP00000048072	ENSMUSP00000126422
ENOG410VBHF	Regulation of nuclear pre-mRNA domain containing	ENSPTRP00000023147, ENSPTRP00000046467	ENSMUSP00000099412, ENSMUSP00000043618
ENOG410V9NZ	Chromosome 1 open reading frame 52	ENSPTRP00000001576	ENSMUSP00000045376
ENOG410VBHC	axonemal dynein light chain domain containing 1	ENSPTRP00000002878	ENSMUSP00000137354
ENOG410VBHX	lysozyme g-like 1	ENSPTRP00000021038	ENSMUSP00000110544
ENOG410VBHZ	Zinc finger protein 398	ENSPTRP00000039629	ENSMUSP00000078806
ENOG410VBHU	ubiquitin carboxyl-terminal hydrolase	ENSPTRP00000058577	ENSMUSP00000102264
ENOG410VBHT	intraflagellar transport 27 homolog (Chlamydomonas)	ENSPTRP00000049690	ENSMUSP00000016781
ENOG410VBHS	2,4-dienoyl CoA reductase 1, mitochondrial	ENSPTRP00000034909	ENSMUSP00000029877
ENOG410VBH9	sub-family D member	ENSPTRP00000035980	ENSMUSP00000128533, ENSMUSP00000136424, ENSMUSP00000128200, ENSMUSP00000097024, ENSMUSP00000130813
ENOG410VBH8	phosphoglycerate dehydrogenase	ENSPTRP00000002013	ENSMUSP00000064755
ENOG410VBH7	adaptor-related protein complex 5, mu 1 subunit	ENSPTRP00000010829	ENSMUSP00000046536
ENOG410VBH1	SUMO sentrin specific peptidase family member 8	ENSPTRP00000012385	ENSMUSP00000129441
ENOG410VBH3	transcobalamin II	ENSPTRP00000024542	ENSMUSP00000020710
ENOG410VGKY	adenine phosphoribosyltransferase	ENSPTRP00000014433	ENSMUSP00000006764
ENOG410VGKC	Tetratricopeptide repeat domain 9C	ENSPTRP00000048022	ENSMUSP00000085413
ENOG410WGW8	sprouty-related, EVH1 domain containing 2	ENSPTRP00000020595	ENSMUSP00000090987
ENOG410WGWP	RNA-binding region (RNP1, RRM) containing 3	ENSPTRP00000039601	ENSMUSP00000089792
ENOG410VHIP	Cornichon homolog (Drosophila)	ENSPTRP00000010787	ENSMUSP00000015903
ENOG410VHIR	Histone H2A	ENSPTRP00000028020, ENSPTRP00000032725	ENSMUSP00000036907, ENSMUSP00000105359
ENOG410VHIT	Family with sequence similarity 136, member A	ENSPTRP00000020653	ENSMUSP00000071426, ENSMUSP00000125904
ENOG410VHIU	Tumor necrosis factor receptor superfamily member	ENSPTRP00000034377, ENSPTRP00000034374, ENSPTRP00000034378	ENSMUSP00000022663
ENOG410VHIV	ATP synthase, H transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	ENSPTRP00000044536	ENSMUSP00000088029
ENOG410VHIZ	Polymerase (RNA) II (DNA directed) polypeptide F	ENSPTRP00000024726	ENSMUSP00000043566
ENOG410VHIC	ribosomal protein L23	ENSPTRP00000015471	ENSMUSP00000099435
ENOG410VHID	Phosphoprotein enriched in astrocytes 15	ENSPTRP00000046696	ENSMUSP00000013842
ENOG410VHIE	transmembrane protein 107	ENSPTRP00000014874	ENSMUSP00000091624
ENOG410VHIH	Nuclear receptor 2C2-associated protein	ENSPTRP00000018311	ENSMUSP00000092907
ENOG410VHIJ	histone cluster 3, H2a	ENSPTRP00000003520	ENSMUSP00000104445
ENOG410VHIK	SNAP-associated protein	ENSPTRP00000002285	ENSMUSP00000122090
ENOG410VHIM	Chromosome 12 open reading frame 45	ENSPTRP00000009139	ENSMUSP00000020488
ENOG410VHI3	G-protein signaling modulator 3	ENSPTRP00000030760	ENSMUSP00000045911
ENOG410VHI4	poly(A) binding protein interacting protein 2	ENSPTRP00000048000	ENSMUSP00000036021
ENOG410VHI5	Lysozyme-like 4	ENSPTRP00000025500	ENSMUSP00000076887
ENOG410VHI8	Arginine vasopressin	ENSPTRP00000022590	ENSMUSP00000035551
ENOG410VHI9	peripheral myelin protein 22	ENSPTRP00000014987	ENSMUSP00000018361
ENOG410V8DK	Tumor protein D52-like 2	ENSPTRP00000023706	ENSMUSP00000117690
ENOG410V8DJ	ERGIC and golgi 3	ENSPTRP00000023057	ENSMUSP00000006035
ENOG410V8DI	RING finger protein 146	ENSPTRP00000031718	ENSMUSP00000037224
ENOG410V8DH	activating signal cointegrator 1 complex subunit 2	ENSPTRP00000024516	ENSMUSP00000063272
ENOG410V8DN	cadherin 17, LI cadherin (liver-intestine)	ENSPTRP00000034930, ENSPTRP00000014014	ENSMUSP00000029871, ENSMUSP00000129663
ENOG410V8DC	complement component 1, q subcomponent binding protein	ENSPTRP00000014729	ENSMUSP00000077612
ENOG410V8DB	Activating transcription factor 3	ENSPTRP00000051186	ENSMUSP00000027941
ENOG410V8DG	F-box protein 8	ENSPTRP00000059359	ENSMUSP00000037544
ENOG410V8DF	Ciliary rootlet coiled-coil, rootletin	ENSPTRP00000000423, ENSPTRP00000046519, ENSPTRP00000061067	ENSMUSP00000105248, ENSMUSP00000099549
ENOG410V8DZ	Tubulin folding cofactor E-like	ENSPTRP00000007526	ENSMUSP00000067882
ENOG410V8DY	low affinity immunoglobulin gamma Fc region receptor	ENSPTRP00000040980, ENSPTRP00000043391	ENSMUSP00000131938, ENSMUSP00000027966
ENOG410V8DX	mitochondrial ribosomal protein L47	ENSPTRP00000026929	ENSMUSP00000048078
ENOG410V8DS	prostaglandin G H synthase and cyclooxygenase	ENSPTRP00000002990, ENSPTRP00000048987	ENSMUSP00000035065, ENSMUSP00000059977
ENOG410V8DR	Exosome component 3	ENSPTRP00000035836	ENSMUSP00000030003
ENOG410V8DW	MyoD family inhibitor domain containing	ENSPTRP00000033578	ENSMUSP00000099186
ENOG410V8DV	Immunoglobulin (CD79A) binding protein 1	ENSPTRP00000037788	ENSMUSP00000050818, ENSMUSP00000033570
ENOG410V8DU	WD repeat domain 43	ENSPTRP00000020251	ENSMUSP00000048337
ENOG410V8D9	Major facilitator superfamily domain containing 4	ENSPTRP00000003185	ENSMUSP00000107989
ENOG410V8D8	claudin 11	ENSPTRP00000026870	ENSMUSP00000042181
ENOG410V8D2	mesoderm posterior 1 homolog (mouse)	ENSPTRP00000012723	ENSMUSP00000032760
ENOG410V8D1	protein kinase-like protein SgK196-like	ENSPTRP00000034626	ENSMUSP00000053802
ENOG410V8D0	sushi domain containing 5	ENSPTRP00000060736	ENSMUSP00000128826
ENOG410V8D7	MYCBP AMY-1-associated, testis expressed 1	ENSPTRP00000051142	ENSMUSP00000023501
ENOG410V8D5	ribokinase	ENSPTRP00000020233	ENSMUSP00000031018
ENOG410V8D4	Prostaglandin E receptor 2 (Subtype EP2)	ENSPTRP00000010757	ENSMUSP00000038483
ENOG410VPD6	serine peptidase inhibitor, Kunitz type, 3	ENSPTRP00000052098	ENSMUSP00000096695
ENOG410WIJM	sphingomyelin phosphodiesterase, acid-like	ENSPTRP00000000736	ENSMUSP00000030709
ENOG410WIJB	BTB and CNC homology 1, basic leucine zipper transcription factor 1	ENSPTRP00000023815	ENSMUSP00000026703
ENOG410VCA9	tetraspanin	ENSPTRP00000005544, ENSPTRP00000007769	ENSMUSP00000032503, ENSMUSP00000026585
ENOG410VCA8	Major facilitator superfamily domain containing	ENSPTRP00000043351, ENSPTRP00000020108	ENSMUSP00000045315, ENSMUSP00000030408
ENOG410VF69	Secretory carrier membrane protein 4	ENSPTRP00000061047	ENSMUSP00000078808
ENOG410VF60	protease, serine, 38	ENSPTRP00000003482	ENSMUSP00000052010
ENOG410VF6Z	Oligodendrocyte myelin glycoprotein	ENSPTRP00000015314	ENSMUSP00000132918
ENOG410VF6H	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1	ENSPTRP00000061402	ENSMUSP00000080994
ENOG410VAKZ	sorting nexin	ENSPTRP00000031552	ENSMUSP00000019939, ENSMUSP00000119102
ENOG410VG68	complement factor H-related	ENSPTRP00000044519	ENSMUSP00000023965, ENSMUSP00000127697
ENOG410VG66	synaptonemal complex central element protein 2	ENSPTRP00000018008	ENSMUSP00000131438
ENOG410VG6T	olfactory receptor, family 4, subfamily K, member	ENSPTRP00000010326	ENSMUSP00000078145, ENSMUSP00000072207
ENOG410VG6M	cripto, FRL-1, cryptic family	ENSPTRP00000021322	ENSMUSP00000027298
ENOG410V51C	F-box protein 43	ENSPTRP00000053097	ENSMUSP00000054125
ENOG410V7J9	Mitogen-activated protein kinase kinase 5	ENSPTRP00000012333	ENSMUSP00000034920
ENOG410V7J3	thioredoxin domain containing 2 (spermatozoa)	ENSPTRP00000049513	ENSMUSP00000054909
ENOG410V7J1	Methylsterol monooxygenase 1	ENSPTRP00000028446	ENSMUSP00000034015
ENOG410V7J6	Nuclear factor related to kappaB binding protein	ENSPTRP00000007651	ENSMUSP00000083341
ENOG410V7JK	CXXC finger protein 1	ENSPTRP00000017038	ENSMUSP00000025444
ENOG410V7JH	Bifunctional enzyme that catalyzes the enolization of 2,3-diketo-5-methylthiopentyl-1-phosphate (DK-MTP-1-P) into the intermediate 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate (HK-MTPenyl-1-P), which is then dephosphorylated to form the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene) (By similarity)	ENSPTRP00000027867	ENSMUSP00000031268
ENOG410V7JN	Nucleolar complex associated 2 homolog (S. cerevisiae)	ENSPTRP00000040449	ENSMUSP00000137253
ENOG410V7JB	KN motif and ankyrin repeat domains	ENSPTRP00000017893, ENSPTRP00000017728, ENSPTRP00000060160, ENSPTRP00000043634	ENSMUSP00000042177, ENSMUSP00000034717, ENSMUSP00000040126
