ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410V4NH	ATP-binding cassette, subfamily B (MDR TAP), member	ENSMUSP00000072826, ENSMUSP00000075011	ENSRNOP00000012222, ENSRNOP00000024232
ENOG410V4NK	nuclear receptor subfamily 2 group C member	ENSMUSP00000089858, ENSMUSP00000109087	ENSRNOP00000009578, ENSRNOP00000014354
ENOG410V4N1	solute carrier family 35 member E1	ENSMUSP00000115754	ENSRNOP00000016399
ENOG410V4N2	chitinase	ENSMUSP00000000573, ENSMUSP00000080717, ENSMUSP00000083666, ENSMUSP00000078134	ENSRNOP00000044947, ENSRNOP00000065787, ENSRNOP00000036477
ENOG410V4N7	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSMUSP00000044361, ENSMUSP00000076769	ENSRNOP00000024568, ENSRNOP00000060122
ENOG410V4N6	E4F transcription factor 1	ENSMUSP00000062344	ENSRNOP00000012506
ENOG410V4N9	colony stimulating factor 1 receptor	ENSMUSP00000025523	ENSRNOP00000040411
ENOG410VDR4	signal sequence receptor, beta (translocon-associated protein beta)	ENSMUSP00000045456	ENSRNOP00000027123
ENOG410VKV3	Unknown	ENSMUSP00000053305	ENSRNOP00000014191
ENOG410VB20	leiomodin 1 (smooth muscle)	ENSMUSP00000031694, ENSMUSP00000061597	ENSRNOP00000064921, ENSRNOP00000067847, ENSRNOP00000009623
ENOG410VI3R	Integrin beta 3 binding protein (Beta3-endonexin)	ENSMUSP00000117153	ENSRNOP00000012947
ENOG410VI3Z	diffuse panbronchiolitis critical region 1	ENSMUSP00000093120	ENSRNOP00000060680
ENOG410VI33	Fibroblast growth factor 22	ENSMUSP00000020577	ENSRNOP00000011936
ENOG410VI32	ferredoxin 1	ENSMUSP00000034552	ENSRNOP00000016263
ENOG410VI38	Unknown	ENSMUSP00000079612	ENSRNOP00000044767
ENOG410WDFZ	Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density-associated Ca(2 ) calmodulin dependent protein kinase II. Component of the PTW PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Regulates NEK2 function in terms of kinase activity and centrosome number and splitting, both in the presence and absence of radiation-induced DNA damage. Regulator of neural tube and optic fissure closure, and enteric neural crest cell (ENCCs) migration during development	ENSMUSP00000015100	ENSRNOP00000025282
ENOG410WDFJ	Histone methyltransferase that specifically trimethylates 'Lys-4' of histone H3 during meiotic prophase and is essential for proper meiotic progression. Does not have the ability to mono- and dimethylate 'Lys-4' of histone H3. H3 'Lys-4' methylation represents a specific tag for epigenetic transcriptional activation. Plays a central role in the transcriptional activation of genes during early meiotic prophase	ENSMUSP00000131871	ENSRNOP00000060531
ENOG410V6H9	potassium channel tetramerisation domain containing	ENSMUSP00000001125, ENSMUSP00000017759, ENSMUSP00000032924	ENSRNOP00000027129, ENSRNOP00000065635, ENSRNOP00000012245
ENOG410V6H8	neuropeptide Y receptor	ENSMUSP00000056576, ENSMUSP00000045530, ENSMUSP00000040797	ENSRNOP00000018952, ENSRNOP00000027469
ENOG410V6H1	interleukin 21 receptor	ENSMUSP00000033000	ENSRNOP00000021690
ENOG410V6H0	ATPase, H transporting, lysosomal accessory protein 1-like	ENSMUSP00000105168	ENSRNOP00000050073
ENOG410V6H3	Solute carrier family 14 (Urea transporter), member	ENSMUSP00000125114, ENSMUSP00000025434	ENSRNOP00000022598, ENSRNOP00000022417
ENOG410V6H2	Solute carrier family 12 (Sodium potassium chloride transporters), member	ENSMUSP00000028630, ENSMUSP00000111023, ENSMUSP00000034218	ENSRNOP00000008857, ENSRNOP00000021921, ENSRNOP00000025377
ENOG410V6H5	INO80 complex subunit D	ENSMUSP00000130864	ENSRNOP00000037428
ENOG410V6H4	TIMP metallopeptidase inhibitor 2	ENSMUSP00000017610	ENSRNOP00000004290
ENOG410V6H7	Adrenergic, beta, receptor kinase	ENSMUSP00000070445, ENSMUSP00000025791	ENSRNOP00000025847
ENOG410V6H6	Left-right determination factor	ENSMUSP00000082952, ENSMUSP00000041427	ENSRNOP00000004354
ENOG410V6HI	protease, serine 58	ENSMUSP00000069833	ENSRNOP00000017611
ENOG410V6HK	Adducin 3 (Gamma)	ENSMUSP00000109979, ENSMUSP00000025999, ENSMUSP00000032069	ENSRNOP00000021491, ENSRNOP00000018072, ENSRNOP00000043399
ENOG410V6HM	RNA binding motif protein 4.2	ENSMUSP00000040005	ENSRNOP00000029729
ENOG410V6HN	RING finger protein 169	ENSMUSP00000079631	ENSRNOP00000036826
ENOG410V6HA	matrix metallopeptidase	ENSMUSP00000034497, ENSMUSP00000034492, ENSMUSP00000047261, ENSMUSP00000091423, ENSMUSP00000034488, ENSMUSP00000005950, ENSMUSP00000018765, ENSMUSP00000015394	ENSRNOP00000011727, ENSRNOP00000011884, ENSRNOP00000058603, ENSRNOP00000012595, ENSRNOP00000013118, ENSRNOP00000011507, ENSRNOP00000013936
ENOG410V6HC	clathrin, light chain	ENSMUSP00000089198, ENSMUSP00000103483	ENSRNOP00000019737, ENSRNOP00000023651
ENOG410V6HB	transforming growth factor beta 1 induced transcript 1	ENSMUSP00000025601, ENSMUSP00000083709, ENSMUSP00000068529	ENSRNOP00000051863, ENSRNOP00000043928, ENSRNOP00000017109
ENOG410V6HE	CLK4-associating serine arginine rich protein	ENSMUSP00000083205, ENSMUSP00000106018	ENSRNOP00000064099, ENSRNOP00000066334
ENOG410V6HD	calcium modulating ligand	ENSMUSP00000021963	ENSRNOP00000033945
ENOG410V6HG	ATPase Na K transporting alpha	ENSMUSP00000039657, ENSMUSP00000083077, ENSMUSP00000007340, ENSMUSP00000106874, ENSMUSP00000131964, ENSMUSP00000099922	ENSRNOP00000045650, ENSRNOP00000027497, ENSRNOP00000062079, ENSRNOP00000054947, ENSRNOP00000028508, ENSRNOP00000028093
ENOG410V6HF	leucine-rich pentatricopeptide repeat containing	ENSMUSP00000107927	ENSRNOP00000008200
ENOG410V6HY	hypoxia up-regulated 1	ENSMUSP00000068594	ENSRNOP00000039172
ENOG410V6HZ	tetratricopeptide repeat domain 5	ENSMUSP00000006451	ENSRNOP00000011741
ENOG410V6HQ	spermatogenesis associated 25	ENSMUSP00000017911	ENSRNOP00000021143
ENOG410V6HP	keratin 79	ENSMUSP00000023799	ENSRNOP00000063782
ENOG410V6HR	gdp-mannose pyrophosphorylase b	ENSMUSP00000036898	ENSRNOP00000026854
ENOG410V6HT	unkempt homolog	ENSMUSP00000021116, ENSMUSP00000039670	ENSRNOP00000023642, ENSRNOP00000009733
ENOG410V6HW	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	ENSMUSP00000044556	ENSRNOP00000028102
ENOG410V6HV	leiomodin 3 (fetal)	ENSMUSP00000093315	ENSRNOP00000042274
ENOG410VC7G	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	ENSMUSP00000070313	ENSRNOP00000012088
ENOG410VBSN	stathmin-like 4	ENSMUSP00000074113	ENSRNOP00000055734
ENOG410VBSH	sorting nexin 8	ENSMUSP00000031539	ENSRNOP00000001696
ENOG410VBSI	suppressor of cytokine signaling	ENSMUSP00000066031, ENSMUSP00000038591	ENSRNOP00000020346, ENSRNOP00000015120
ENOG410VBSK	leucine rich repeat containing 27	ENSMUSP00000016124	ENSRNOP00000023610
ENOG410VBSD	matrix extracellular phosphoglycoprotein	ENSMUSP00000065200	ENSRNOP00000002927
ENOG410VBSF	acrosin binding protein	ENSMUSP00000085632	ENSRNOP00000024618
ENOG410VBSA	TGFB-induced factor homeobox 2	ENSMUSP00000096745, ENSMUSP00000137450	ENSRNOP00000059063
ENOG410VBSB	intraflagellar transport 46 homolog (Chlamydomonas)	ENSMUSP00000002099	ENSRNOP00000019011
ENOG410VBSX	coiled-coil domain containing 168	ENSMUSP00000127017	ENSRNOP00000043860
ENOG410VBSY	Pyridoxamine 5'-phosphate oxidase	ENSMUSP00000018803	ENSRNOP00000067069
ENOG410VBSZ	Zinc finger and BTB domain containing	ENSMUSP00000057856, ENSMUSP00000047333	ENSRNOP00000027323, ENSRNOP00000065115
ENOG410VBST	solute carrier family 25 (mitochondrial carnitine acylcarnitine carrier), member 29	ENSMUSP00000021693	ENSRNOP00000005753
ENOG410VBSU	Nuclear RNA export factor	ENSMUSP00000010241, ENSMUSP00000033784	ENSRNOP00000038474, ENSRNOP00000026033
ENOG410VBSV	ubiquitin carboxyl-terminal hydrolase	ENSMUSP00000137430	ENSRNOP00000033131
ENOG410VBSW	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	ENSMUSP00000084823	ENSRNOP00000000550
ENOG410VBSQ	sal-like 2 (Drosophila)	ENSMUSP00000056401	ENSRNOP00000017730
ENOG410VBSS	Cytochrome P450, family 46, subfamily a, polypeptide 1	ENSMUSP00000021684	ENSRNOP00000009896
ENOG410VBS8	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	ENSMUSP00000105680	ENSRNOP00000022650
ENOG410VBS5	DNA methyltransferase 1 associated protein 1	ENSMUSP00000099748	ENSRNOP00000026336
ENOG410VBS6	secretagogin, EF-hand calcium binding protein	ENSMUSP00000021770	ENSRNOP00000022329
ENOG410VBS7	RCAN family member 3	ENSMUSP00000039473, ENSMUSP00000030606	ENSRNOP00000025052, ENSRNOP00000013954
ENOG410V8M9	Complement component 3a receptor 1	ENSMUSP00000048092	ENSRNOP00000012216
ENOG410V8AG	Striatin, calmodulin binding protein	ENSMUSP00000013130, ENSMUSP00000120830, ENSMUSP00000019220	ENSRNOP00000006527, ENSRNOP00000007509, ENSRNOP00000021976
ENOG410VDSC	SH3-binding domain protein 5-like	ENSMUSP00000072872	ENSRNOP00000060548
ENOG410VKPX	SNRPN upstream reading	ENSMUSP00000136053	ENSRNOP00000030887
ENOG410WCJT	Enah Vasp-like	ENSMUSP00000021689	ENSRNOP00000019584
ENOG410WCJI	Autophagy beclin-1 regulator 1	ENSMUSP00000049258	ENSRNOP00000039742
ENOG410VGWS	DM15	ENSMUSP00000096721	ENSRNOP00000043290
ENOG410VMA0	chromosome X open reading frame 69	ENSMUSP00000112767, ENSMUSP00000066705	ENSRNOP00000064175, ENSRNOP00000052590
ENOG410VMA5	5-hydroxyisourate	ENSMUSP00000026554	ENSRNOP00000017121, ENSRNOP00000067773
ENOG410VMAW	thymosin beta	ENSMUSP00000118704, ENSMUSP00000137225, ENSMUSP00000108694, ENSMUSP00000073355	ENSRNOP00000053968
ENOG410VMAV	Translocase of outer mitochondrial membrane 7 homolog (Yeast)	ENSMUSP00000030851	ENSRNOP00000060340
ENOG410VMAZ	serine peptidase inhibitor, Kazal type 13	ENSMUSP00000095165	ENSRNOP00000056043
ENOG410VMAC	chromosome 5 open reading frame 46	ENSMUSP00000094321	ENSRNOP00000056872
ENOG410V6A0	1-acylglycerol-3-phosphate O-acyltransferase 5 (Lysophosphatidic acid acyltransferase, epsilon)	ENSMUSP00000117025	ENSRNOP00000037069
ENOG410V6A7	Receptor-interacting serine-threonine kinase 3	ENSMUSP00000022830	ENSRNOP00000027759
ENOG410V6AC	Syntaxin 4	ENSMUSP00000033075	ENSRNOP00000026224
ENOG410V6AI	sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	ENSMUSP00000113115	ENSRNOP00000000698
ENOG410V6AX	Rest corepressor	ENSMUSP00000073004, ENSMUSP00000112089, ENSMUSP00000108996	ENSRNOP00000010676, ENSRNOP00000064314, ENSRNOP00000035978
ENOG410V6U8	stomatin (Epb7.2)-like 2	ENSMUSP00000030169	ENSRNOP00000013151
ENOG410V6U6	G protein-coupled receptor 183	ENSMUSP00000052404	ENSRNOP00000035137
ENOG410V6U7	keratin associated protein 24-1	ENSMUSP00000052005	ENSRNOP00000065645
ENOG410V6U4	Teratocarcinoma-derived growth factor 1	ENSMUSP00000035075	ENSRNOP00000047852
ENOG410V6U2	lymphocyte transmembrane adaptor 1	ENSMUSP00000131126	ENSRNOP00000032707
ENOG410V6U0	importin	ENSMUSP00000046759, ENSMUSP00000081782	ENSRNOP00000014004
ENOG410V6UN	Solute carrier family 20 (Phosphate transporter), member	ENSMUSP00000065935, ENSMUSP00000028880	ENSRNOP00000026418, ENSRNOP00000025294
ENOG410V6UM	General transcription factor II-I	ENSMUSP00000098217, ENSMUSP00000049625	ENSRNOP00000002006, ENSRNOP00000002010
ENOG410V6UJ	tetratricopeptide repeat domain	ENSMUSP00000102229, ENSMUSP00000099887	ENSRNOP00000063929, ENSRNOP00000054540, ENSRNOP00000055409
ENOG410V6UI	translocation associated membrane protein	ENSMUSP00000027068, ENSMUSP00000062635, ENSMUSP00000047992	ENSRNOP00000017592, ENSRNOP00000013030
ENOG410V6UE	williams-Beuren syndrome chromosome region 16	ENSMUSP00000075581	ENSRNOP00000002032
ENOG410V6UB	family with sequence similarity 45, member A	ENSMUSP00000025957	ENSRNOP00000013845
ENOG410V6UX	Engulfment and cell motility	ENSMUSP00000105000, ENSMUSP00000072334, ENSMUSP00000071619	ENSRNOP00000021362, ENSRNOP00000039023
ENOG410V6UV	ataxin 10	ENSMUSP00000132450	ENSRNOP00000021071
ENOG410V6UU	EH-domain containing	ENSMUSP00000028755, ENSMUSP00000024860, ENSMUSP00000025684	ENSRNOP00000010701, ENSRNOP00000051714, ENSRNOP00000010419
ENOG410V6UQ	Transient receptor potential cation channel subfamily V member	ENSMUSP00000031902, ENSMUSP00000031901	ENSRNOP00000020616, ENSRNOP00000020975
ENOG410V9N1	Coiled-coil domain containing 104	ENSMUSP00000020754	ENSRNOP00000005306
ENOG410V9N7	ankyrin repeat domain 37	ENSMUSP00000056828	ENSRNOP00000049105
ENOG410VBHM	protein for cytohesin exchange factors	ENSMUSP00000101242	ENSRNOP00000024461
ENOG410V9NX	Cathepsin F	ENSMUSP00000112481	ENSRNOP00000026718
ENOG410VBHN	UBX domain protein 6	ENSMUSP00000019722	ENSRNOP00000066490
ENOG410VBHH	chromosome 6 open reading frame 118	ENSMUSP00000118841	ENSRNOP00000015010
ENOG410VBHK	MAU2 chromatid cohesion factor homolog (C. elegans)	ENSMUSP00000054763	ENSRNOP00000027846
ENOG410VBHE	Olfactory receptor	ENSMUSP00000075041, ENSMUSP00000071126	ENSRNOP00000067444, ENSRNOP00000043350, ENSRNOP00000043905
ENOG410VBHG	membrane-spanning 4-domains, subfamily A, member 1	ENSMUSP00000126422	ENSRNOP00000028433
ENOG410VBHF	Regulation of nuclear pre-mRNA domain containing	ENSMUSP00000099412, ENSMUSP00000043618	ENSRNOP00000021624, ENSRNOP00000017265
ENOG410VBHX	lysozyme g-like 1	ENSMUSP00000110544	ENSRNOP00000067882, ENSRNOP00000025065
ENOG410VBHZ	Zinc finger protein 398	ENSMUSP00000078806	ENSRNOP00000008743
ENOG410VBHU	ubiquitin carboxyl-terminal hydrolase	ENSMUSP00000102264	ENSRNOP00000058846
ENOG410VBHT	intraflagellar transport 27 homolog (Chlamydomonas)	ENSMUSP00000016781	ENSRNOP00000008450
ENOG410VBHS	2,4-dienoyl CoA reductase 1, mitochondrial	ENSMUSP00000029877	ENSRNOP00000011330
ENOG410VBH9	sub-family D member	ENSMUSP00000128533, ENSMUSP00000130813, ENSMUSP00000097024, ENSMUSP00000136424, ENSMUSP00000128200	ENSRNOP00000058061, ENSRNOP00000062200, ENSRNOP00000058412
ENOG410VBH8	phosphoglycerate dehydrogenase	ENSMUSP00000064755	ENSRNOP00000053019
ENOG410VBH7	adaptor-related protein complex 5, mu 1 subunit	ENSMUSP00000046536	ENSRNOP00000018972
ENOG410VBH1	SUMO sentrin specific peptidase family member 8	ENSMUSP00000129441	ENSRNOP00000062239
ENOG410VBH3	transcobalamin II	ENSMUSP00000020710	ENSRNOP00000005934
ENOG410VGK2	Olfactory receptor	ENSMUSP00000097403, ENSMUSP00000100488, ENSMUSP00000097399	ENSRNOP00000067244, ENSRNOP00000007996, ENSRNOP00000066053
ENOG410VGKY	adenine phosphoribosyltransferase	ENSMUSP00000006764	ENSRNOP00000061449
ENOG410VGKC	Tetratricopeptide repeat domain 9C	ENSMUSP00000085413	ENSRNOP00000026376
ENOG410WGW7	WH1 domain	ENSMUSP00000028829	ENSRNOP00000007028
ENOG410WGW8	sprouty-related, EVH1 domain containing 2	ENSMUSP00000090987	ENSRNOP00000006573
ENOG410WGWM	G-rich RNA sequence binding factor 1	ENSMUSP00000077972	ENSRNOP00000004551
ENOG410WGWP	RNA-binding region (RNP1, RRM) containing 3	ENSMUSP00000089792	ENSRNOP00000023366
ENOG410VHIR	Histone H2A	ENSMUSP00000036907, ENSMUSP00000105359	ENSRNOP00000045180
ENOG410VHIS	chibby homolog 3 (Drosophila)	ENSMUSP00000131004	ENSRNOP00000004517
ENOG410VHIT	Family with sequence similarity 136, member A	ENSMUSP00000125904, ENSMUSP00000071426	ENSRNOP00000022014
ENOG410VHIU	Tumor necrosis factor receptor superfamily member	ENSMUSP00000022663	ENSRNOP00000063335
ENOG410VHIV	ATP synthase, H transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	ENSMUSP00000088029	ENSRNOP00000009815
ENOG410VHIZ	Polymerase (RNA) II (DNA directed) polypeptide F	ENSMUSP00000043566	ENSRNOP00000015009
ENOG410VHID	Phosphoprotein enriched in astrocytes 15	ENSMUSP00000013842	ENSRNOP00000064962
ENOG410VHIE	transmembrane protein 107	ENSMUSP00000091624	ENSRNOP00000008787
ENOG410VHIK	SNAP-associated protein	ENSMUSP00000122090	ENSRNOP00000018830
ENOG410VHIM	Chromosome 12 open reading frame 45	ENSMUSP00000020488	ENSRNOP00000011511
ENOG410VHI3	G-protein signaling modulator 3	ENSMUSP00000045911	ENSRNOP00000000510
ENOG410VHI4	poly(A) binding protein interacting protein 2	ENSMUSP00000036021	ENSRNOP00000026989
ENOG410VHI5	Lysozyme-like 4	ENSMUSP00000076887	ENSRNOP00000026173
ENOG410VHI8	Arginine vasopressin	ENSMUSP00000035551	ENSRNOP00000028833
ENOG410VHI9	peripheral myelin protein 22	ENSMUSP00000018361	ENSRNOP00000051201
ENOG410VN1V	WAP four-disulfide core domain	ENSMUSP00000070718, ENSMUSP00000018355	ENSRNOP00000051128, ENSRNOP00000034406
ENOG410VN12	Pfam:CD225	ENSMUSP00000013227	ENSRNOP00000053585
ENOG410V8DK	Tumor protein D52-like 2	ENSMUSP00000117690	ENSRNOP00000020374
ENOG410V8DJ	ERGIC and golgi 3	ENSMUSP00000006035	ENSRNOP00000044589
ENOG410V8DI	RING finger protein 146	ENSMUSP00000037224	ENSRNOP00000015421
ENOG410V8DH	activating signal cointegrator 1 complex subunit 2	ENSMUSP00000063272	ENSRNOP00000060720
ENOG410V8DN	cadherin 17, LI cadherin (liver-intestine)	ENSMUSP00000029871, ENSMUSP00000129663	ENSRNOP00000021612, ENSRNOP00000016419
ENOG410V8DC	complement component 1, q subcomponent binding protein	ENSMUSP00000077612	ENSRNOP00000031020
ENOG410V8DB	Activating transcription factor 3	ENSMUSP00000027941	ENSRNOP00000005085
ENOG410V8DG	F-box protein 8	ENSMUSP00000037544	ENSRNOP00000014015
ENOG410V8DF	Ciliary rootlet coiled-coil, rootletin	ENSMUSP00000105248, ENSMUSP00000099549	ENSRNOP00000011115, ENSRNOP00000026149
ENOG410V8DZ	Tubulin folding cofactor E-like	ENSMUSP00000067882	ENSRNOP00000056698
ENOG410V8DY	low affinity immunoglobulin gamma Fc region receptor	ENSMUSP00000027966, ENSMUSP00000131938	ENSRNOP00000004204, ENSRNOP00000065008, ENSRNOP00000039989, ENSRNOP00000055293, ENSRNOP00000064819
ENOG410V8DX	mitochondrial ribosomal protein L47	ENSMUSP00000048078	ENSRNOP00000015863
ENOG410V8DS	prostaglandin G H synthase and cyclooxygenase	ENSMUSP00000059977, ENSMUSP00000035065	ENSRNOP00000010218, ENSRNOP00000003567
ENOG410V8DW	MyoD family inhibitor domain containing	ENSMUSP00000099186	ENSRNOP00000044086
ENOG410V8DV	Immunoglobulin (CD79A) binding protein 1	ENSMUSP00000033570, ENSMUSP00000050818	ENSRNOP00000010707, ENSRNOP00000054708
ENOG410V8DU	WD repeat domain 43	ENSMUSP00000048337	ENSRNOP00000033485
ENOG410V8D9	Major facilitator superfamily domain containing 4	ENSMUSP00000107989	ENSRNOP00000061845
ENOG410V8D8	claudin 11	ENSMUSP00000042181	ENSRNOP00000014359
ENOG410V8D3	vomeronasal 1 receptor	ENSMUSP00000052123, ENSMUSP00000073121, ENSMUSP00000072637, ENSMUSP00000077479, ENSMUSP00000086840, ENSMUSP00000074422, ENSMUSP00000086839, ENSMUSP00000078760, ENSMUSP00000133035	ENSRNOP00000023885, ENSRNOP00000047560, ENSRNOP00000023832, ENSRNOP00000039516, ENSRNOP00000042308, ENSRNOP00000041492
ENOG410V8D2	mesoderm posterior 1 homolog (mouse)	ENSMUSP00000032760	ENSRNOP00000020117
ENOG410V8D1	protein kinase-like protein SgK196-like	ENSMUSP00000053802	ENSRNOP00000019630
ENOG410V8D0	sushi domain containing 5	ENSMUSP00000128826	ENSRNOP00000028675
ENOG410V8D7	MYCBP AMY-1-associated, testis expressed 1	ENSMUSP00000023501	ENSRNOP00000040027
ENOG410V8D5	ribokinase	ENSMUSP00000031018	ENSRNOP00000006452
ENOG410V8D4	Prostaglandin E receptor 2 (Subtype EP2)	ENSMUSP00000038483	ENSRNOP00000064907
ENOG410WIJD	BTB and CNC homology 1, basic leucine zipper transcription factor 2	ENSMUSP00000103815	ENSRNOP00000063410
ENOG410WIJB	BTB and CNC homology 1, basic leucine zipper transcription factor 1	ENSMUSP00000026703	ENSRNOP00000002151
ENOG410WIJA	Component of the NF-E2 complex essential for regulating erythroid and megakaryocytic maturation and differentiation. Binds to the hypersensitive site 2 (HS2) of the beta-globin control region (LCR). This subunit (NFE2) recognizes the TCAT C sequence of the AP-1-like core palindrome present in a number of erythroid and megakaryocytic gene promoters. Requires MAFK or other small MAF proteins for binding to the NF-E2 motif. May play a role in all aspects of hemoglobin production from globin and heme synthesis to procurement of iron	ENSMUSP00000074684	ENSRNOP00000052156
ENOG410VCA9	tetraspanin	ENSMUSP00000026585, ENSMUSP00000032503	ENSRNOP00000066775, ENSRNOP00000007328, ENSRNOP00000043060
ENOG410VCA8	Major facilitator superfamily domain containing	ENSMUSP00000030408, ENSMUSP00000045315	ENSRNOP00000019080, ENSRNOP00000038937
ENOG410VF69	Secretory carrier membrane protein 4	ENSMUSP00000078808	ENSRNOP00000024980
ENOG410VF60	protease, serine, 38	ENSMUSP00000052010	ENSRNOP00000043715
ENOG410VF6Z	Oligodendrocyte myelin glycoprotein	ENSMUSP00000132918	ENSRNOP00000018892
ENOG410VF6H	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. Subunit 2 transfers the electrons from cytochrome c via its binuclear copper A center to the bimetallic center of the catalytic subunit 1	ENSMUSP00000080994	ENSRNOP00000046414
