ortholog	function	Homo_sapiens	Pan_troglodytes
ENOG410V62P	Guanidinoacetate N-methyltransferase	ENSP00000403536	ENSPTRP00000060820
ENOG410V62J	kelch-like 2, Mayven (Drosophila)	ENSP00000424198, ENSP00000312397	ENSPTRP00000053274, ENSPTRP00000029536
ENOG410V62F	Ras-related C3 botulinum toxin substrate	ENSP00000348461, ENSP00000249071, ENSP00000304283	ENSPTRP00000043196
ENOG410V62B	MGA, MAX dimerization protein	ENSP00000219905	ENSPTRP00000011861
ENOG410V628	vacuolar protein sorting 37 homolog C (S. cerevisiae)	ENSP00000301765	ENSPTRP00000060557
ENOG410V4NU	mitochondrial calcium uniporter	ENSP00000362144	ENSPTRP00000039641
ENOG410V4NT	erythrocyte membrane protein band 4.1-like	ENSP00000337168, ENSP00000341138, ENSP00000338481	ENSPTRP00000016756, ENSPTRP00000031744, ENSPTRP00000023095
ENOG410V4NZ	Kazrin, periplakin interacting protein	ENSP00000365198	ENSPTRP00000057344
ENOG410V4NC	R3H domain containing 1	ENSP00000264160	ENSPTRP00000021375
ENOG410V4ND	zinc finger SWIM-type containing 2	ENSP00000295131	ENSPTRP00000048968
ENOG410V4NF	ADP-ribosylation factor-like	ENSP00000256496, ENSP00000272217	ENSPTRP00000025125
ENOG410V4NH	ATP-binding cassette, subfamily B (MDR TAP), member	ENSP00000351717, ENSP00000355637	ENSPTRP00000003536, ENSPTRP00000045424
ENOG410V4NK	nuclear receptor subfamily 2 group C member	ENSP00000320447, ENSP00000333275	ENSPTRP00000009017, ENSPTRP00000025284
ENOG410V4N1	solute carrier family 35 member E1	ENSP00000470652	ENSPTRP00000039053
ENOG410V4N2	chitinase	ENSP00000358747, ENSP00000358763, ENSP00000255409, ENSP00000341828, ENSP00000356198	ENSPTRP00000001888, ENSPTRP00000001896, ENSPTRP00000003133, ENSPTRP00000041993
ENOG410V4N7	SWI SNF related matrix associated actin dependent regulator of chromatin subfamily a member	ENSP00000283131, ENSP00000360163	ENSPTRP00000028278
ENOG410V4N6	E4F transcription factor 1	ENSP00000301727	ENSPTRP00000041605
ENOG410V4N9	colony stimulating factor 1 receptor	ENSP00000286301	ENSPTRP00000029749
ENOG410VDR4	signal sequence receptor, beta (translocon-associated protein beta)	ENSP00000295702	ENSPTRP00000002439
ENOG410VMZ6	chromosome 8 open reading frame 86	ENSP00000350856	ENSPTRP00000053193
ENOG410VMZW	Unknown	ENSP00000316101	ENSPTRP00000007516
ENOG410VMZZ	gonadotropin-releasing hormone 2	ENSP00000245983	ENSPTRP00000052437
ENOG410VMZC	Unknown	ENSP00000471925, ENSP00000364795, ENSP00000364776, ENSP00000472887	ENSPTRP00000047407
ENOG410VMZI	cysteine-rich transmembrane module containing 1	ENSP00000261811	ENSPTRP00000029593
ENOG410VB20	leiomodin 1 (smooth muscle)	ENSP00000411932, ENSP00000356257	ENSPTRP00000047657, ENSPTRP00000003081
ENOG410VWBV	chromosome 6 open reading frame 99	ENSP00000356039	ENSPTRP00000049492
ENOG410VI3R	Integrin beta 3 binding protein (Beta3-endonexin)	ENSP00000360133	ENSPTRP00000001410
ENOG410VI3W	fibroblast growth factor binding protein 2	ENSP00000259989	ENSPTRP00000053680
ENOG410VI3Z	diffuse panbronchiolitis critical region 1	ENSP00000446847, ENSP00000447631, ENSP00000417182, ENSP00000446930, ENSP00000392132	ENSPTRP00000054575
ENOG410VI32	ferredoxin 1	ENSP00000260270	ENSPTRP00000007328
ENOG410WDFZ	Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density-associated Ca(2 ) calmodulin dependent protein kinase II. Component of the PTW PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Regulates NEK2 function in terms of kinase activity and centrosome number and splitting, both in the presence and absence of radiation-induced DNA damage. Regulator of neural tube and optic fissure closure, and enteric neural crest cell (ENCCs) migration during development	ENSP00000326031, ENSP00000296122	ENSPTRP00000009251, ENSPTRP00000020246
ENOG410WDFB	protein phosphatase 4, catalytic subunit	ENSP00000279387	ENSPTRP00000053618
ENOG410V6H9	potassium channel tetramerisation domain containing	ENSP00000226225, ENSP00000459080, ENSP00000311202, ENSP00000228495	ENSPTRP00000013636, ENSPTRP00000052970
ENOG410V6H8	neuropeptide Y receptor	ENSP00000458179, ENSP00000363431, ENSP00000354652, ENSP00000458652	ENSPTRP00000028426, ENSPTRP00000050668
ENOG410V6H1	interleukin 21 receptor	ENSP00000338010	ENSPTRP00000013526
ENOG410V6H0	ATPase, H transporting, lysosomal accessory protein 1-like	ENSP00000369513	ENSPTRP00000048326
ENOG410V6H3	Solute carrier family 14 (Urea transporter), member	ENSP00000390637, ENSP00000255226	ENSPTRP00000016983, ENSPTRP00000016979
ENOG410V6H2	Solute carrier family 12 (Sodium potassium chloride transporters), member	ENSP00000370381, ENSP00000402152, ENSP00000262461	ENSPTRP00000059043, ENSPTRP00000013899, ENSPTRP00000029417
ENOG410V6H5	INO80 complex subunit D	ENSP00000384198	ENSPTRP00000047989
ENOG410V6H4	TIMP metallopeptidase inhibitor 2	ENSP00000262768	ENSPTRP00000061107
ENOG410V6H7	Adrenergic, beta, receptor kinase	ENSP00000312262, ENSP00000317578	ENSPTRP00000006793, ENSPTRP00000049774
ENOG410V6H6	Left-right determination factor	ENSP00000272134, ENSP00000355785	ENSPTRP00000003450
ENOG410V6HI	protease, serine 58	ENSP00000446916, ENSP00000455032	ENSPTRP00000033891
ENOG410V6HK	Adducin 3 (Gamma)	ENSP00000264436, ENSP00000264758, ENSP00000348381	ENSPTRP00000046282, ENSPTRP00000020655, ENSPTRP00000027304
ENOG410V6HM	RNA binding motif protein 4.2	ENSP00000262633	ENSPTRP00000018580
ENOG410V6HN	RING finger protein 169	ENSP00000299563	ENSPTRP00000006999
ENOG410V6HA	matrix metallopeptidase	ENSP00000322788, ENSP00000458585, ENSP00000236826, ENSP00000458496, ENSP00000279441, ENSP00000460695, ENSP00000299855, ENSP00000260302, ENSP00000260229	ENSPTRP00000007262, ENSPTRP00000007260, ENSPTRP00000007258, ENSPTRP00000007265, ENSPTRP00000007259, ENSPTRP00000007256
ENOG410V6HC	clathrin, light chain	ENSP00000242285, ENSP00000309415	ENSPTRP00000035797
ENOG410V6HB	transforming growth factor beta 1 induced transcript 1	ENSP00000431284, ENSP00000378332, ENSP00000228307	ENSPTRP00000009381, ENSPTRP00000047049, ENSPTRP00000006351
ENOG410V6HE	CLK4-associating serine arginine rich protein	ENSP00000417901, ENSP00000221455	ENSPTRP00000010953, ENSPTRP00000041717
ENOG410V6HD	calcium modulating ligand	ENSP00000297156	ENSPTRP00000029505
ENOG410V6HG	ATPase Na K transporting alpha	ENSP00000354490, ENSP00000357060, ENSP00000302397, ENSP00000218548, ENSP00000262623, ENSP00000295598	ENSPTRP00000009734, ENSPTRP00000002591, ENSPTRP00000018575, ENSPTRP00000041092
ENOG410V6HF	leucine-rich pentatricopeptide repeat containing	ENSP00000260665	ENSPTRP00000020395
ENOG410V6HY	hypoxia up-regulated 1	ENSP00000458419, ENSP00000384144	ENSPTRP00000007480
ENOG410V6HX	protocadherin 10	ENSP00000264360	ENSPTRP00000028237
ENOG410V6HZ	tetratricopeptide repeat domain 5	ENSP00000258821	ENSPTRP00000010332
ENOG410V6HQ	spermatogenesis associated 25	ENSP00000361597	ENSPTRP00000023314
ENOG410V6HP	keratin 79	ENSP00000328358	ENSPTRP00000008504
ENOG410V6HR	gdp-mannose pyrophosphorylase b	ENSP00000309092	ENSPTRP00000025773
ENOG410V6HU	Syntaxin 11	ENSP00000356540	ENSPTRP00000031873
ENOG410V6HT	unkempt homolog	ENSP00000293218, ENSP00000373873	ENSPTRP00000053809, ENSPTRP00000016408
ENOG410V6HW	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	ENSP00000378360	ENSPTRP00000006431
ENOG410V6HV	leiomodin 3 (fetal)	ENSP00000414670	ENSPTRP00000026063
ENOG410VC7G	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	ENSP00000262662	ENSPTRP00000001246
ENOG410VBSM	Family with sequence similarity 172, member A	ENSP00000379294	ENSPTRP00000029223
ENOG410VBSN	stathmin-like 4	ENSP00000342538	ENSPTRP00000053212
ENOG410VBSH	sorting nexin 8	ENSP00000222990	ENSPTRP00000032199
ENOG410VBSI	suppressor of cytokine signaling	ENSP00000305133, ENSP00000341327	ENSPTRP00000061344, ENSPTRP00000010802
ENOG410VBSJ	G protein-coupled receptor 32	ENSP00000270590	ENSPTRP00000048518
ENOG410VBSD	matrix extracellular phosphoglycoprotein	ENSP00000354341	ENSPTRP00000027935
ENOG410VBSF	acrosin binding protein	ENSP00000229243	ENSPTRP00000007831
ENOG410VBSA	TGFB-induced factor homeobox 2	ENSP00000362979	ENSPTRP00000023101
ENOG410VBSB	intraflagellar transport 46 homolog (Chlamydomonas)	ENSP00000264020, ENSP00000470937	ENSPTRP00000007458
ENOG410VBSX	coiled-coil domain containing 168	ENSP00000320232	ENSPTRP00000010219
ENOG410VBSY	Pyridoxamine 5'-phosphate oxidase	ENSP00000225573	ENSPTRP00000015884
ENOG410VBSZ	Zinc finger and BTB domain containing	ENSP00000323670, ENSP00000328732	ENSPTRP00000017011, ENSPTRP00000017492
ENOG410VBST	solute carrier family 25 (mitochondrial carnitine acylcarnitine carrier), member 29	ENSP00000352167	ENSPTRP00000011454
ENOG410VBSU	Nuclear RNA export factor	ENSP00000361835, ENSP00000331471, ENSP00000469776, ENSP00000472530, ENSP00000294172	ENSPTRP00000006511, ENSPTRP00000038049
ENOG410VBSV	ubiquitin carboxyl-terminal hydrolase	ENSP00000381577	ENSPTRP00000020540
ENOG410VBSW	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	ENSP00000372696, ENSP00000414880, ENSP00000398660, ENSP00000390784, ENSP00000394876	ENSPTRP00000050283
ENOG410VBSQ	sal-like 2 (Drosophila)	ENSP00000333537	ENSPTRP00000010397
ENOG410VBSS	Cytochrome P450, family 46, subfamily a, polypeptide 1	ENSP00000261835	ENSPTRP00000011444
ENOG410VBS8	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	ENSP00000263897	ENSPTRP00000018192
ENOG410VBS5	DNA methyltransferase 1 associated protein 1	ENSP00000312697	ENSPTRP00000046996
ENOG410VBS6	secretagogin, EF-hand calcium binding protein	ENSP00000367197	ENSPTRP00000030372
ENOG410VBS7	RCAN family member 3	ENSP00000363516, ENSP00000329454	ENSPTRP00000031159, ENSPTRP00000000607
ENOG410VBS2	centrosomal protein 192kDa	ENSP00000427550	ENSPTRP00000016823
ENOG410V8M9	Complement component 3a receptor 1	ENSP00000302079	ENSPTRP00000007901
ENOG410V8AG	Striatin, calmodulin binding protein	ENSP00000350071, ENSP00000263918, ENSP00000375777	ENSPTRP00000043059, ENSPTRP00000019206, ENSPTRP00000010587
ENOG410VDSC	SH3-binding domain protein 5-like	ENSP00000355428	ENSPTRP00000003755
ENOG410VKPX	SNRPN upstream reading	ENSP00000336543	ENSPTRP00000058086
ENOG410VKPB	chromosome 9 open reading frame 92	ENSP00000370058	ENSPTRP00000049435
ENOG410VKP9	Chromosome 5 open reading frame	ENSP00000318395	ENSPTRP00000028956
ENOG410WCJU	sprouty-related, EVH1 domain containing 3	ENSP00000345405	ENSPTRP00000018728
ENOG410WCJ8	SRY (sex determining region Y)-box 30	ENSP00000265007	ENSPTRP00000029846
ENOG410WCJ7	SRY (sex determining region Y)-box 17	ENSP00000297316	ENSPTRP00000034688
ENOG410WE5R	testis specific 10	ENSP00000347161	ENSPTRP00000043779
ENOG410VMA0	chromosome X open reading frame 69	ENSP00000328335	ENSPTRP00000038409
ENOG410VMA5	5-hydroxyisourate	ENSP00000431116	ENSPTRP00000060710
ENOG410VMA4	CD99 molecule	ENSP00000370588	ENSPTRP00000047508
ENOG410VMAS	colipase-like 1	ENSP00000362968	ENSPTRP00000050235
ENOG410VMAW	thymosin beta	ENSP00000289373	ENSPTRP00000039047
ENOG410VMAV	Translocase of outer mitochondrial membrane 7 homolog (Yeast)	ENSP00000351214	ENSPTRP00000032434
ENOG410VMAZ	serine peptidase inhibitor, Kazal type 13	ENSP00000381468	ENSPTRP00000056075
ENOG410VMAC	chromosome 5 open reading frame 46	ENSP00000315370	ENSPTRP00000029710
ENOG410VMAD	chromosome X open reading frame 68	ENSP00000469180, ENSP00000358542	ENSPTRP00000047197
ENOG410V6A0	1-acylglycerol-3-phosphate O-acyltransferase 5 (Lysophosphatidic acid acyltransferase, epsilon)	ENSP00000285518	ENSPTRP00000034182
ENOG410V6A7	Receptor-interacting serine-threonine kinase 3	ENSP00000216274	ENSPTRP00000010556
ENOG410V6AD	ribosomal protein L19	ENSP00000225430	ENSPTRP00000015480
ENOG410V6AI	sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	ENSP00000321108	ENSPTRP00000004525
ENOG410V6AX	Rest corepressor	ENSP00000413929, ENSP00000459789, ENSP00000301459	ENSPTRP00000003285, ENSPTRP00000052457, ENSPTRP00000006558
ENOG410V6U8	stomatin (Epb7.2)-like 2	ENSP00000348886	ENSPTRP00000035756
ENOG410V6U9	Bcl-2-associated athanogene 2	ENSP00000359727	ENSPTRP00000031283
ENOG410V6U6	G protein-coupled receptor 183	ENSP00000365596	ENSPTRP00000010197
ENOG410V6U7	keratin associated protein 24-1	ENSP00000339238	ENSPTRP00000023820
ENOG410V6U4	Teratocarcinoma-derived growth factor 1	ENSP00000296145	ENSPTRP00000025610
ENOG410V6U2	lymphocyte transmembrane adaptor 1	ENSP00000406970	ENSPTRP00000003143
ENOG410V6U3	solute carrier family 16, member	ENSP00000357844	ENSPTRP00000031604
ENOG410V6U0	importin	ENSP00000369042, ENSP00000256079	ENSPTRP00000008198, ENSPTRP00000048248
ENOG410V6UN	Solute carrier family 20 (Phosphate transporter), member	ENSP00000340465, ENSP00000272542	ENSPTRP00000034606, ENSPTRP00000021186
ENOG410V6UM	General transcription factor II-I	ENSP00000460934, ENSP00000397566, ENSP00000322542, ENSP00000460070	ENSPTRP00000032997, ENSPTRP00000032994
ENOG410V6UJ	tetratricopeptide repeat domain	ENSP00000406144, ENSP00000422496	ENSPTRP00000035547, ENSPTRP00000052336
ENOG410V6UI	translocation associated membrane protein	ENSP00000262213, ENSP00000309402, ENSP00000182527	ENSPTRP00000060393, ENSPTRP00000034802
ENOG410V6UE	williams-Beuren syndrome chromosome region 16	ENSP00000461601, ENSP00000333799	ENSPTRP00000033008
ENOG410V6UB	family with sequence similarity 45, member A	ENSP00000354688	ENSPTRP00000050195
ENOG410V6UX	Engulfment and cell motility	ENSP00000290246, ENSP00000312185, ENSP00000377566	ENSPTRP00000023348, ENSPTRP00000032609, ENSPTRP00000056317
ENOG410V6UV	ataxin 10	ENSP00000252934	ENSPTRP00000049614
ENOG410V6UU	EH-domain containing	ENSP00000220325, ENSP00000327116, ENSP00000320516	ENSPTRP00000006637, ENSPTRP00000020273, ENSPTRP00000011887
ENOG410V6UQ	Transient receptor potential cation channel subfamily V member	ENSP00000456007, ENSP00000352358, ENSP00000457041, ENSP00000265310	ENSPTRP00000033910, ENSPTRP00000042589
ENOG410V9N0	Vesicle transport through interaction with t-SNAREs homolog	ENSP00000450731	ENSPTRP00000010967
ENOG410V9N1	Coiled-coil domain containing 104	ENSP00000295117	ENSPTRP00000020496
ENOG410V9N7	ankyrin repeat domain 37	ENSP00000335147	ENSPTRP00000028552
ENOG410V9NX	Cathepsin F	ENSP00000310832	ENSPTRP00000006773
ENOG410VBHN	UBX domain protein 6	ENSP00000301281	ENSPTRP00000017528
ENOG410VBHH	chromosome 6 open reading frame 118	ENSP00000230301	ENSPTRP00000032082
ENOG410VBHK	MAU2 chromatid cohesion factor homolog (C. elegans)	ENSP00000376127	ENSPTRP00000018319
ENOG410VBHD	shisa homolog 9 (Xenopus laevis)	ENSP00000454014	ENSPTRP00000060167
ENOG410VBHG	membrane-spanning 4-domains, subfamily A, member 1	ENSP00000314620	ENSPTRP00000048072
ENOG410VBHF	Regulation of nuclear pre-mRNA domain containing	ENSP00000362532, ENSP00000349955	ENSPTRP00000046467, ENSPTRP00000023147
ENOG410V9NZ	Chromosome 1 open reading frame 52	ENSP00000419417	ENSPTRP00000001576
ENOG410VBHC	axonemal dynein light chain domain containing 1	ENSP00000356590	ENSPTRP00000002878
ENOG410VBHX	lysozyme g-like 1	ENSP00000311320	ENSPTRP00000021038
ENOG410VBHZ	Zinc finger protein 398	ENSP00000420418	ENSPTRP00000039629
ENOG410VBHU	ubiquitin carboxyl-terminal hydrolase	ENSP00000339957	ENSPTRP00000058577
ENOG410VBHT	intraflagellar transport 27 homolog (Chlamydomonas)	ENSP00000393541	ENSPTRP00000049690
ENOG410VBHQ	leucine rich repeat containing 3C	ENSP00000367157	ENSPTRP00000053040
ENOG410VBHS	2,4-dienoyl CoA reductase 1, mitochondrial	ENSP00000220764	ENSPTRP00000034909
ENOG410VBH9	sub-family D member	ENSP00000341988	ENSPTRP00000035980
ENOG410VBH8	phosphoglycerate dehydrogenase	ENSP00000358417	ENSPTRP00000002013
ENOG410VBH4	zinc finger protein 774	ENSP00000346348	ENSPTRP00000042077
ENOG410VBH7	adaptor-related protein complex 5, mu 1 subunit	ENSP00000261558	ENSPTRP00000010829
ENOG410VBH1	SUMO sentrin specific peptidase family member 8	ENSP00000340505	ENSPTRP00000012385
ENOG410VBH3	transcobalamin II	ENSP00000215838	ENSPTRP00000024542
ENOG410WE75	RING finger protein 113B	ENSP00000267291	ENSPTRP00000010180
ENOG410WE7B	Zinc finger protein 267	ENSP00000300870	ENSPTRP00000053584
ENOG410WE7C	chromosome 11 open reading frame 44	ENSP00000326394	ENSPTRP00000007675
ENOG410VGKY	adenine phosphoribosyltransferase	ENSP00000367615	ENSPTRP00000014433
ENOG410VGKC	Tetratricopeptide repeat domain 9C	ENSP00000325266	ENSPTRP00000048022
ENOG410WGW6	sprouty-related, EVH1 domain containing 1	ENSP00000299084	ENSPTRP00000011790
ENOG410WGW5	Enah Vasp-like	ENSP00000376652	ENSPTRP00000011447
ENOG410WGW8	sprouty-related, EVH1 domain containing 2	ENSP00000348753	ENSPTRP00000020595
ENOG410WGWP	RNA-binding region (RNP1, RRM) containing 3	ENSP00000391432	ENSPTRP00000039601
ENOG410VZ62	chromosome 9 open reading frame	ENSP00000365108	ENSPTRP00000049248
ENOG410VHIP	Cornichon homolog (Drosophila)	ENSP00000216416	ENSPTRP00000010787
ENOG410VHIR	Histone H2A	ENSP00000308405, ENSP00000296417	ENSPTRP00000032725, ENSPTRP00000028020
ENOG410VHIT	Family with sequence similarity 136, member A	ENSP00000037869	ENSPTRP00000020653
ENOG410VHIU	Tumor necrosis factor receptor superfamily member	ENSP00000276431, ENSP00000310263, ENSP00000221132	ENSPTRP00000034378, ENSPTRP00000034377, ENSPTRP00000034374
ENOG410VHIV	ATP synthase, H transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	ENSP00000348205	ENSPTRP00000044536
ENOG410VHIX	Histone H2A	ENSP00000297012	ENSPTRP00000030373
ENOG410VHIZ	Polymerase (RNA) II (DNA directed) polypeptide F	ENSP00000403852	ENSPTRP00000024726
ENOG410VHIC	ribosomal protein L23	ENSP00000377865	ENSPTRP00000015471
ENOG410VHID	Phosphoprotein enriched in astrocytes 15	ENSP00000353660	ENSPTRP00000046696
ENOG410VHIE	transmembrane protein 107	ENSP00000314116	ENSPTRP00000014874
ENOG410VHIH	Nuclear receptor 2C2-associated protein	ENSP00000332823	ENSPTRP00000018311
ENOG410VHIJ	histone cluster 3, H2a	ENSP00000355656	ENSPTRP00000003520
ENOG410VHIK	SNAP-associated protein	ENSP00000357674	ENSPTRP00000002285
ENOG410VHIM	Chromosome 12 open reading frame 45	ENSP00000447057	ENSPTRP00000009139
ENOG410VHI3	G-protein signaling modulator 3	ENSP00000372752, ENSP00000392487, ENSP00000410087, ENSP00000364180, ENSP00000413975, ENSP00000407538, ENSP00000403132	ENSPTRP00000030760
ENOG410VHI4	poly(A) binding protein interacting protein 2	ENSP00000265192	ENSPTRP00000048000
ENOG410VHI5	Lysozyme-like 4	ENSP00000287748	ENSPTRP00000025500
ENOG410VHI8	Arginine vasopressin	ENSP00000369647	ENSPTRP00000022590
ENOG410VHI9	peripheral myelin protein 22	ENSP00000308937	ENSPTRP00000014987
ENOG410VN1R	chromosome 14 open reading frame	ENSP00000321360	ENSPTRP00000011432
ENOG410VYBC	Transmembrane protein 105	ENSP00000329795	ENSPTRP00000016612
ENOG410V8DK	Tumor protein D52-like 2	ENSP00000217121	ENSPTRP00000023706
ENOG410V8DJ	ERGIC and golgi 3	ENSP00000349970	ENSPTRP00000023057
ENOG410V8DI	RING finger protein 146	ENSP00000357297	ENSPTRP00000031718
ENOG410V8DH	activating signal cointegrator 1 complex subunit 2	ENSP00000305502	ENSPTRP00000024516
ENOG410V8DN	cadherin 17, LI cadherin (liver-intestine)	ENSP00000299752, ENSP00000027335	ENSPTRP00000034930, ENSPTRP00000014014
ENOG410V8DC	complement component 1, q subcomponent binding protein	ENSP00000225698	ENSPTRP00000014729
ENOG410V8DB	Activating transcription factor 3	ENSP00000344352	ENSPTRP00000051186
ENOG410V8DG	F-box protein 8	ENSP00000377280	ENSPTRP00000059359
ENOG410V8DF	Ciliary rootlet coiled-coil, rootletin	ENSP00000387851, ENSP00000380661, ENSP00000364691	ENSPTRP00000000423, ENSPTRP00000061067, ENSPTRP00000046519
ENOG410V8DZ	Tubulin folding cofactor E-like	ENSP00000403925	ENSPTRP00000007526
ENOG410V8DY	low affinity immunoglobulin gamma Fc region receptor	ENSP00000271450, ENSP00000351497	ENSPTRP00000040980, ENSPTRP00000043391
ENOG410V8DX	mitochondrial ribosomal protein L47	ENSP00000417602	ENSPTRP00000026929
